id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying,sample_weight
382,@ce-ji3jh,RRQ RINZ ? 😂😂😂😂,rrq rinz,rrq rinz,rrq rinz,rrq rinz,0,safe,non-cyberbullying,,0,0.529178674351585
383,@warisandayani8827,Dah pindah fans ke onic aja...,dah pindah fans ke onic aja,sudah pindah fans ke onic saja,pindah fans onic,pindah fans onic,0,safe,non-cyberbullying,,0,0.529178674351585
384,@rafifauzan5065,Jungler kgak jelas sering blunder masih dipake buang aja hanyut in dicomberan,jungler kgak jelas sering blunder masih dipake buang aja hanyut in dicomberan,jungler kgak jelas sering blunder kasih dipake buang saja hanyut in dicomberan,jungler kgak jelas sering blunder kasih dipake buang hanyut in dicomberan,jungler kgak jelas sering blunder kasih dipake buang hanyut in comberan,0,safe,non-cyberbullying,,0,0.529178674351585
385,@rafifauzan5065,Woii RRQ percaya sm gue selama ou mainin zunesh bukanya naik malah menurun perform RRQ🤦‍♂️🤦‍♂️,woii rrq percaya sm gue selama ou mainin zunesh bukanya naik malah menurun perform rrq,woii rrq percaya sm saya sama ou mainin zunesh bukan naik malah menurun perform rrq,woii rrq percaya sm sama ou mainin zunesh bukan naik malah menurun perform rrq,woii rrq percaya sm sama ou mainin zunesh bukan naik malah turun perform rrq,0,safe,non-cyberbullying,,0,0.529178674351585
386,@Hytera-q7g,kasian sama caster kingdom 🤣🤣🤣 gak netral bjirr yang menang Onic yang di puji RRQ 🫣🫣🫣,kasian sama caster kingdom gak netral bjirr yang menang onic yang di puji rrq,kasian sama caster kingdom tidak netral bjirr yang memang onic yang di puji rrq,kasian sama caster kingdom netral bjirr memang onic di puji rrq,kasi sama caster kingdom netral bjirr memang onic di puji rrq,0,safe,non-cyberbullying,,0,0.529178674351585
387,@Rizalbagus_,26.40 ☝️😝,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
388,@Neonityy,"top global recall"" tuh sanz🗿",top global recall tuh sanz,top global recall tuh sanz,top global recall tuh sanz,top global recall tuh sanz,0,safe,non-cyberbullying,,0,0.529178674351585
389,@JanalebanonJanalebanon,Mainkaannnnn sutsujinnnnn,mainkaannnnn sutsujinnnnn,mainkaannnnn sutsujinnnnn,mainkaannnnn sutsujinnnnn,mainkaannnnn sutsujinnnnn,0,safe,non-cyberbullying,,0,0.529178674351585
390,@FauzanMuhammad-y8r,Ni jungler rrq pro player apa pemain epic blunder Mulu dah,ni jungler rrq pro player apa pemain epic blunder mulu dah,ni jungler rrq pro player apa pemain epic blunder mulu sudah,ni jungler rrq pro player apa pemain epic blunder mulu,ni jungler rrq pro player apa main epic blunder mulu,0,safe,non-cyberbullying,,0,0.529178674351585
391,@AnnasSaputra24,"Dari dulu rrq adalah tim hama, player yang sooo jago padahal kenyataannya poke pokee😢",dari dulu rrq adalah tim hama player yang sooo jago padahal kenyataannya poke pokee,dari dulu rrq adalah tim hama player yang sooo jago padahal kenyataannya poke pokee,dulu rrq tim hama player sooo jago padahal kenyataannya poke pokee,dulu rrq tim hama player sooo jago padahal nyata poke pokee,6,severe_toxic,non-cyberbullying,poke(gaming:3); pokee(gaming:3),0,0.529178674351585
392,@Mlbbraps,"Gada lAwan
🎉",gada lawan,gada lawan,gada lawan,gada lawan,0,safe,non-cyberbullying,,0,0.529178674351585
393,@AnnaLestrange-y9s4n,Gg onic,gg onic,gg onic,gg onic,gg onic,0,safe,non-cyberbullying,,0,0.529178674351585
394,@AguszSlametsantoso,Serasa main trio idok sama rinz sama dayyren.. 2 orang gak guna di rrq buang2 waktu,serasa main trio idok sama rinz sama dayyren orang gak guna di rrq buang waktu,serasa main trio idok sama rinz sama dayyren orang tidak guna di rrq buang waktu,serasa main trio idok sama rinz sama dayyren orang guna rrq buang waktu,serasa main trio idok sama rinz sama dayyren orang guna rrq buang waktu,0,safe,non-cyberbullying,,0,0.529178674351585
395,@AguszSlametsantoso,Ganti juggler baru bisa itu kalau gini trus bisa apa rrq..,ganti juggler baru bisa itu kalau gini trus bisa apa rrq,nanti juggler baru bisa itu kalau gini terus bisa apa rrq,juggler baru itu kalau gini terus apa rrq,juggler baru itu kalau gin terus apa rrq,0,safe,non-cyberbullying,,0,0.529178674351585
396,@langssGo1k,"rqq opset mulu ,pemain dulu blikin woy",rqq opset mulu pemain dulu blikin woy,rqq opset mulu pemain dulu blikin woy,rqq opset mulu pemain dulu blikin woy,rqq opset mulu main dulu blikin woy,0,safe,non-cyberbullying,,0,0.529178674351585
397,@duckymfs5450,"KETIKA AYAM BERSABDA



kata rinzz ""MEREKA GA JAGO""


EKWKEKWKWK",ketika ayam bersabda kata rinzz mereka ga jago ekwkekwkwk,ketika ayam bersabda kata rinzz mereka tidak jago ekwkekwkwk,ayam bersabda kata rinzz tidak jago ekwkekwkwk,ayam sabda kata rinzz tidak jago ekwkekwkwk,0,safe,non-cyberbullying,,0,0.529178674351585
398,@galuhvold9603,"Team juara kali ini pasti onic ,. 
Rrq sudah tidak ada harapan karena pemain nya jelek semua 😅",team juara kali ini pasti onic rrq sudah tidak ada harapan karena pemain nya jelek semua,team juara kali ini pasti onic rrq sudah tidak ada harapan karena pemain ya jelek semua,team juara kali pasti onic rrq tidak harapan pemain jelek semua,team juara kali pasti onic rrq tidak harap main jelek semua,4,moderate_toxic,cyberbullying,jelek(personal:4),1,9.067901234567902
399,@Otim-e5o,"Jujur gua benci tim rrq 
Love onic",jujur gua benci tim rrq love onic,jujur saya benci tim rrq love onic,jujur benci tim rrq love onic,jujur benci tim rrq love onic,0,safe,non-cyberbullying,,0,0.529178674351585
400,@dendennasruloh5251,Ngelepas yss si kacau,ngelepas yss si kacau,ngelepas yss si kalau,ngelepas yss si kalau,ngelepas yss si kalau,0,safe,non-cyberbullying,,0,0.529178674351585
401,@HendrikPammase,"Ini rrq di bilang raja, nda lebih dari bahan latihan onic😢😂",ini rrq di bilang raja nda lebih dari bahan latihan onic,ini rrq di bilang raja nda lebih dari bahan latihan onic,rrq bilang raja nda lebih bahan latihan onic,rrq bilang raja nda lebih bahan latih onic,0,safe,non-cyberbullying,,0,0.529178674351585
402,@Faadzan,Toyy miss ulti padahal moskov termasuk dari 4 Hero andalanku aku pun diejek gara-gara itu😢,toyy miss ulti padahal moskov termasuk dari hero andalanku aku pun diejek garagara itu,toyy miss ulti padahal moskov termasuk dari hero andalanku aku pun diejek garagara itu,toyy miss ulti padahal moskov termasuk hero andalanku aku diejek garagara,toyy miss ulti padahal moskov masuk hero andal aku ejek garagara,0,safe,non-cyberbullying,,0,0.529178674351585
403,@Bang_muhid24,Gimana king ppq sama kingdom nya Masi aman kan😂,gimana king ppq sama kingdom nya masi aman kan,bagaimana king ppq sama kingdom ya masi aman akan,bagaimana king ppq sama kingdom masi aman,bagaimana king ppq sama kingdom mas aman,0,safe,non-cyberbullying,,0,0.529178674351585
404,@rizkifadhillah6709,Duh yang kemaren gantiin Skylar di RRQ kek gini maennya😂,duh yang kemaren gantiin skylar di rrq kek gini maennya,duh yang kemaren gantiin skylar di rrq seperti gini maennya,duh kemaren gantiin skylar rrq gini maennya,duh kemaren gantiin skylar rrq gin maennya,0,safe,non-cyberbullying,,0,0.529178674351585
405,@Saryzano,"10:30 sanz pencet purify, dyrenn jadi ulti ke lutpi... detail kecil yang lumayan bisa jadi titik perlawanan rrq ke onic🙊",sanz pencet purify dyrenn jadi ulti ke lutpi detail kecil yang lumayan bisa jadi titik perlawanan rrq ke onic,sanz pencet purify dyrenn jadi ulti ke lutpi detail kecil yang lumayan bisa jadi titik perlawanan rrq ke onic,sanz pencet purify dyrenn jadi ulti lutpi detail kecil lumayan jadi titik perlawanan rrq onic,sanz pencet purify dyrenn jadi ulti lutpi detail kecil lumayan jadi titik lawan rrq onic,0,safe,non-cyberbullying,,0,0.529178674351585
406,@Suparman-d4h,"Pembuktian skaylar,season kemarin banyak yang bilang toy lebih jago. Dan sekarang keliatan siapa yang jago dan bisa gendong. 😜👆",pembuktian skaylarseason kemarin banyak yang bilang toy lebih jago dan sekarang keliatan siapa yang jago dan bisa gendong,pembuktian skaylarseason kemarin banyak yang bilang toy lebih jago dan sekarang keliatan siapa yang jago dan bisa gendong,pembuktian skaylarseason kemarin banyak bilang toy lebih jago sekarang keliatan siapa jago bisa gendong,bukti skaylarseason kemarin banyak bilang toy lebih jago sekarang liat siapa jago bisa gendong,0,safe,non-cyberbullying,,0,0.529178674351585
407,@nano3-z6l,Rrq poke,rrq poke,rrq poke,rrq poke,rrq poke,3,moderate_toxic,non-cyberbullying,poke(gaming:3),0,0.529178674351585
408,@dwiijoko6933,"RRQ Akan bangkit,walaupun Sanz Dan Skylar seperti itu,gue yakin Akan Ada titik balik buat rrq",rrq akan bangkitwalaupun sanz dan skylar seperti itugue yakin akan ada titik balik buat rrq,rrq akan bangkitwalaupun sanz dan skylar seperti itugue yakin akan ada titik balik buat rrq,rrq bangkitwalaupun sanz skylar itugue yakin ada titik balik buat rrq,rrq bangkitwalaupun sanz skylar itugue yakin ada titik balik buat rrq,0,safe,non-cyberbullying,,0,0.529178674351585
409,@RafkaRadika-t2n,hdeh zuneshh😂,hdeh zuneshh,hdeh zuneshh,hdeh zuneshh,hdeh zuneshh,0,safe,non-cyberbullying,,0,0.529178674351585
410,@IMadeJuliAdnyana,"Onic selain team kuat, mereka juga bisnis sampingan jualan wig",onic selain team kuat mereka juga bisnis sampingan jualan wig,onic selain team kuat mereka juga bisnis sampingan jualan wig,onic team kuat juga bisnis sampingan jualan wig,onic team kuat juga bisnis samping jual wig,0,safe,non-cyberbullying,,0,0.529178674351585
411,@YoungBaba07,"Waktunya RRQ berbenah, dah gitu aja dari dulu😂",waktunya rrq berbenah dah gitu aja dari dulu,waktunya rrq berbenah sudah gitu saja dari dulu,waktunya rrq berbenah gitu dari dulu,waktu rrq benah gitu dari dulu,0,safe,non-cyberbullying,,0,0.529178674351585
412,@samueliman10,🤪🤪🤪,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
413,@galuhddragon4107,day 1 belajar moskov,day belajar moskov,day belajar moskov,day belajar moskov,day ajar moskov,0,safe,non-cyberbullying,,0,0.529178674351585
414,@VINNN_OFFICIAL,RRQ JADI AYAM DEPAN SKYLAR😂BIARKAN BRO MENGGORENG TEAM YANG MEMBUANG DIA DEMI MAINAN(TOY),rrq jadi ayam depan skylarbiarkan bro menggoreng team yang membuang dia demi mainantoy,rrq jadi ayam depan skylarbiarkan bro menggoreng team yang memang dia demi mainantoy,rrq jadi ayam depan skylarbiarkan bro menggoreng team memang demi mainantoy,rrq jadi ayam depan skylarbiarkan bro goreng team memang demi mainantoy,0,safe,non-cyberbullying,,0,0.529178674351585
415,@VINNN_OFFICIAL,Dulu gw kingdom😂tpi stelah liat roaster rrq skrng kek POKE....POKEZCUTE BUANG EMAS DEMI MAINAN(TOY)😂😂,dulu gw kingdomtpi stelah liat roaster rrq skrng kek pokepokezcute buang emas demi mainantoy,dulu saya kingdomtpi stelah liat roaster rrq skrng seperti pokepokezcute buang emas demi mainantoy,dulu kingdomtpi stelah liat roaster rrq skrng pokepokezcute buang emas mainantoy,dulu kingdomtpi stelah liat roaster rrq skrng pokepokezcute buang emas mainantoy,0,safe,non-cyberbullying,,0,0.529178674351585
416,@ardiansyah5501,"Tapi kyknya skylar di match sebelum²nya sebelum lawan rrq sengaja main biasa aja,gk mau nonjolin jatidiri diaa,biar mereka juga nganggapnya biasa aja dan bakal gampang,..tpi pas lawan rrq dikeluarin tuh power skill diaa ampe kena mental si team raja😂😂",tapi kyknya skylar di match sebelumnya sebelum lawan rrq sengaja main biasa ajagk mau nonjolin jatidiri diaabiar mereka juga nganggapnya biasa aja dan bakal gampangtpi pas lawan rrq dikeluarin tuh power skill diaa ampe kena mental si team raja,tapi kyknya skylar di match sebelumnya belum lawan rrq sengaja main bisa ajagk mau nonjolin jatidiri diaabiar mereka juga nganggapnya bisa saja dan bakal gampangtpi pas lawan rrq dikeluarin tuh power skill diaa sampai karena mental si team raja,kyknya skylar match sebelumnya lawan rrq sengaja main ajagk mau nonjolin jatidiri diaabiar juga nganggapnya saja bakal gampangtpi pas lawan rrq dikeluarin tuh power skill diaa karena mental si team raja,kyknya skylar match belum lawan rrq sengaja main ajagk mau nonjolin jatidiri diaabiar juga nganggapnya saja bakal gampangtpi pas lawan rrq dikeluarin tuh power skill diaa karena mental si team raja,0,safe,non-cyberbullying,,0,0.529178674351585
417,@MAkmal-z2o,REQ MM NYA TOLOL,req mm nya tolol,req mm ya tolol,req mm tolol,req mm tolol,4,moderate_toxic,cyberbullying,tolol(personal:4),1,9.067901234567902
418,@ROTIROHANI,Rinz aman kah?,rinz aman kah,rinz aman kah,rinz aman,rinz aman,0,safe,non-cyberbullying,,0,0.529178674351585
419,@MuliyadinMuliyadin04,"rrq jgn kan melawan onic dgn pemain legend nya yg mau dapat Mseriesnya .. melawan EVOS Legend aja tetap kalah dri jaman bahula.. mau lemon juga yg main 🤣,pantasan skylar pindah dari rrq timnya sampah, apalagi roasters yg sekarang.. el blunder 🤣",rrq jgn kan melawan onic dgn pemain legend nya yg mau dapat mseriesnya melawan evos legend aja tetap kalah dri jaman bahula mau lemon juga yg main pantasan skylar pindah dari rrq timnya sampah apalagi roasters yg sekarang el blunder,rrq jangan akan melawan onic dengan pemain legend ya yang mau dapat mseriesnya melawan evos legend saja tetap kalau dari jaman bahula mau lemon juga yang main pantasan skylar pindah dari rrq timnya sampai apalagi roasters yang sekarang el blunder,rrq jangan melawan onic pemain legend mau mseriesnya melawan evos legend tetap kalau jaman bahula mau lemon yang main pantasan skylar pindah rrq timnya apalagi roasters yang sekarang el blunder,rrq jangan lawan onic main legend mau mseriesnya lawan evos legend tetap kalau jaman bahula mau lemon yang main pantas skylar pindah rrq tim apalagi roasters yang sekarang el blunder,0,safe,non-cyberbullying,,0,0.529178674351585
420,@r4mskyyy,L,l,l,l,l,0,safe,non-cyberbullying,,0,0.529178674351585
421,@cidrostory2747,si zunes mirip haya di tim kalo saya lagi main solo rank,si zunes mirip haya di tim kalo saya lagi main solo rank,si zunes mirip haya di tim kalau saya lagi main solo rank,si zunes mirip haya tim kalau lagi main solo rank,si zunes mirip haya tim kalau lagi main solo rank,0,safe,non-cyberbullying,,0,0.529178674351585
422,@Nana_Kennedy,26:33 TENGIL BANGET COWO SZE WKWK,tengil banget cowo sze wkwk,tengil banget cowo sze wkwk,tengil banget cowo sze wkwk,tengil banget cowo sze wkwk,0,safe,non-cyberbullying,,0,0.529178674351585
423,@AchmadZuhhud,kingdom baper😝👆🏻,kingdom baper,kingdom baper,kingdom baper,kingdom baper,0,safe,non-cyberbullying,,0,0.529178674351585
424,@TaufikurRochman-k1l,Kemana sutsujinmu RRQ?,kemana sutsujinmu rrq,kemana sutsujinmu rrq,sutsujinmu rrq,sutsujinmu rrq,0,safe,non-cyberbullying,,0,0.529178674351585
425,@TradingConspiracy,Jelek bgt posisi team fightny rrq.. sumpah main rank aja,jelek bgt posisi team fightny rrq sumpah main rank aja,jelek banget posisi team fightny rrq sumpah main rank saja,jelek banget posisi team fightny rrq sumpah main rank,jelek banget posisi team fightny rrq sumpah main rank,4,moderate_toxic,cyberbullying,jelek(personal:4),1,9.067901234567902
426,@RIZKIFAND,Rrq rrq,rrq rrq,rrq rrq,rrq rrq,rrq rrq,0,safe,non-cyberbullying,,0,0.529178674351585
427,@nurhilmiubadihilmi,Skaylar putus asa gak bisa ngalahin onic .. dan skarang pindah ke onic wkwk pngen megang piala,skaylar putus asa gak bisa ngalahin onic dan skarang pindah ke onic wkwk pngen megang piala,skaylar putus asa tidak bisa ngalahin onic dan sekarang pindah ke onic wkwk pngen memang piala,skaylar putus asa bisa ngalahin onic sekarang pindah onic wkwk pngen memang piala,skaylar putus asa bisa ngalahin onic sekarang pindah onic wkwk pngen memang piala,0,safe,non-cyberbullying,,0,0.529178674351585
428,@Hafizah-q8j,sanz jan gitu kasian rrq,sanz jan gitu kasian rrq,sanz jan gitu kasian rrq,sanz jan gitu kasian rrq,sanz jan gitu kasi rrq,0,safe,non-cyberbullying,,0,0.529178674351585
429,@borabori1999,Rrq haaaaa kocak🤣🤣🤣,rrq haaaaa kocak,rrq haaaaa kocak,rrq haaaaa kocak,rrq haaaaa kocak,0,safe,non-cyberbullying,,0,0.529178674351585
430,@ThaoNgo-e3y,Setiap kalimat di video ini terasa tulus dan penuh makna.❤️𝐓𝐈𝐌𝐎𝟒𝐃❤️ Yang paling aku suka adalah bagaimana kamu bikin penonton merasa nyaman dan gak dihakimi. Sukses selalu buat kamu dan channel ini!,setiap kalimat di video ini terasa tulus dan penuh makna yang paling aku suka adalah bagaimana kamu bikin penonton merasa nyaman dan gak dihakimi sukses selalu buat kamu dan channel ini,setiap kalimat di video ini terasa tulus dan penuh makna yang paling aku suka adalah bagaimana kamu bikin penonton merasa nyaman dan tidak dihakimi sukses selalu buat kamu dan channel ini,kalimat video terasa tulus penuh makna paling aku suka bagaimana kamu bikin penonton merasa nyaman tidak dihakimi sukses selalu buat kamu channel,kalimat video asa tulus penuh makna paling aku suka bagaimana kamu bikin tonton rasa nyaman tidak hakim sukses selalu buat kamu channel,0,safe,non-cyberbullying,,0,0.529178674351585
431,@MinhTran-u5q,Bikin senyum sendiri! 𝐓𝐈𝐌𝐎𝟒𝐃,bikin senyum sendiri,bikin senyum sendiri,bikin senyum sendiri,bikin senyum sendiri,0,safe,non-cyberbullying,,0,0.529178674351585
432,@DungLe-w1g1f,Keren parah 𝐓𝐈𝐌𝐎𝟒𝐃! Pengen nonton ulang. 👏,keren parah pengen nonton ulang,keren parah pengen nonton ulang,keren parah pengen nonton ulang,keren parah ken nonton ulang,1,minor_negative,non-cyberbullying,parah(negative:1),0,0.529178674351585
433,@ThaoHoang-l2q,Akhirnya yg di tunggu2😁 𝐓𝐈𝐌𝐎𝟒𝐃 gas,akhirnya yg di tunggu gas,akhirnya yang di tunggu gas,akhirnya di tunggu gas,akhir di tunggu gas,0,safe,non-cyberbullying,,0,0.529178674351585
434,@ThaoDuong-k2l,Cakep Kali 𝐓𝐈𝐌𝐎𝟒𝐃,cakep kali,cakep kali,cakep kali,cakep kali,0,safe,non-cyberbullying,,0,0.529178674351585
435,@ThaoDang-u3m,"Mantep ⭐𝐓𝐈𝐌𝐎𝟒𝐃⭐ udah jadi kebiasaan, Caerr terusss !!!",mantep udah jadi kebiasaan caerr terusss,mantep sudah jadi kebiasaan caerr terus,mantep jadi kebiasaan caerr terus,mantep jadi biasa caerr terus,0,safe,non-cyberbullying,,0,0.529178674351585
436,@DucBui-o5s8q,Semoga video-video kamu selalu menarik dan sukses besar! ⚡𝐓𝐈𝐌𝐎𝟒𝐃⚡ Berkah selalu untuk kamu dan channelmu. ⚡𝐓𝐈𝐌𝐎𝟒𝐃⚡,semoga videovideo kamu selalu menarik dan sukses besar berkah selalu untuk kamu dan channelmu,semoga videovideo kamu selalu menarik dan sukses benar berkah selalu untuk kamu dan channelmu,semoga videovideo kamu selalu menarik sukses benar berkah selalu kamu channelmu,moga videovideo kamu selalu tarik sukses benar berkah selalu kamu channelmu,0,safe,non-cyberbullying,,0,0.529178674351585
437,@HuongNguyen-h4i1q,𝐓𝐈𝐌𝐎𝟒𝐃 kasih sentuhan magis! Gak bisa berhenti nonton. 🙌,kasih sentuhan magis gak bisa berhenti nonton,kasih sentuhan magis tidak bisa berhenti nonton,kasih sentuhan magis bisa berhenti nonton,kasih sentuh magis bisa henti nonton,0,safe,non-cyberbullying,,0,0.529178674351585
438,@AnhNguyen-t2w9c,Mantap! 𝗧𝗶𝗺𝗼𝟰𝗗,mantap,mantap,mantap,mantap,0,safe,non-cyberbullying,,0,0.529178674351585
439,@CuongLy-u8l,"Reactionnya bikin ngakak terus! Sambil ketawa, aku sambil menang di 𝐓𝐈𝐌𝐎𝟒𝐃! 😆🎲",reactionnya bikin ngakak terus sambil ketawa aku sambil menang di,reactionnya bikin ngakak terus sambil ketawa aku sambil memang di,reactionnya bikin ngakak terus ketawa aku memang,reactionnya bikin ngakak terus ketawa aku memang,0,safe,non-cyberbullying,,0,0.529178674351585
440,@LanNgo-u5x,"Konten seperti ini yang dibutuhkan di YouTube. Sukses terus!,𝐓𝐈𝐌𝐎𝟒𝐃!",konten seperti ini yang dibutuhkan di youtube sukses terus,konten seperti ini yang dibutuhkan di youtube sukses terus,konten ini dibutuhkan youtube sukses terus,konten ini butuh youtube sukses terus,0,safe,non-cyberbullying,,0,0.529178674351585
441,@QuanDang-t5o,Bangun tidur langsung buka ✌𝐓𝐈𝐌𝐎𝟒𝐃✌.,bangun tidur langsung buka,bangun tidur langsung bukan,bangun tidur langsung bukan,bangun tidur langsung bukan,0,safe,non-cyberbullying,,0,0.529178674351585
442,@ThaoDo-z1q,"Kontennya bikin betah, 👵𝐓𝐈𝐌𝐎𝟒𝐃👵 juga bikin betah sampe pagi. 🌄",kontennya bikin betah juga bikin betah sampe pagi,kontennya bikin betah juga bikin betah sampai pagi,kontennya bikin betah bikin betah pagi,konten bikin betah bikin betah pagi,0,safe,non-cyberbullying,,0,0.529178674351585
443,@BolaNOW1,benci bgt kalo casternya memihak,benci bgt kalo casternya memihak,benci banget kalau casternya memihak,benci banget kalau casternya memihak,benci banget kalau casternya pihak,0,safe,non-cyberbullying,,0,0.529178674351585
444,@Ragantamara,Ppffttt baru liat jungler kaya junes,ppffttt baru liat jungler kaya junes,ppffttt baru liat jungler kaya junes,ppffttt baru liat jungler kaya junes,ppffttt baru liat jungler kaya junes,0,safe,non-cyberbullying,,0,0.529178674351585
445,@DikdikIdik-x6d,😜👆,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
446,@EkaEreeanti-o5f,lagi nunggu kata kata toy lebih jago dari skyalar🤭,lagi nunggu kata kata toy lebih jago dari skyalar,lagi nunggu kata kata toy lebih jago dari skyalar,nunggu kata kata toy lebih jago skyalar,nunggu kata kata toy lebih jago skyalar,0,safe,non-cyberbullying,,0,0.529178674351585
447,@Sintakarmaa,terima kasih buat sonic😂,terima kasih buat sonic,terima kasih buat sonic,terima kasih buat sonic,terima kasih buat sonic,0,safe,non-cyberbullying,,0,0.529178674351585
448,@rhie3847,"Balikin sutsujin, gak rela kalo sampe gak main 1:01",balikin sutsujin gak rela kalo sampe gak main,balikin sutsujin tidak rela kalau sampai tidak main,balikin sutsujin rela kalau tidak main,balikin sutsujin rela kalau tidak main,0,safe,non-cyberbullying,,0,0.529178674351585
449,@auraputrifayza7461,ditutorin main pharsa tuh,ditutorin main pharsa tuh,ditutorin main pharsa tuh,ditutorin main pharsa tuh,ditutorin main pharsa tuh,0,safe,non-cyberbullying,,0,0.529178674351585
450,@lupita-x28,"MENDING MILIH RRQ ATAU SKYLAR?YA MENDING MILIH RRQ LAH,SKYLAR SIAPA?GBLK😂😂😂",mending milih rrq atau skylarya mending milih rrq lahskylar siapagblk,mending milih rrq atau skylarya mending milih rrq lahskylar siapagblk,mending milih rrq skylarya mending milih rrq lahskylar siapagblk,mending milih rrq skylarya mending milih rrq lahskylar siapagblk,0,safe,non-cyberbullying,,0,0.529178674351585
451,@mengmeng-r3c,POV : MABAR SATU TEAM SAMA ANOMALI JAM 9 PAGI,pov mabar satu team sama anomali jam pagi,pov mabar satu team sama anomali jam pagi,pov mabar satu team sama anomali jam pagi,pov mabar satu team sama anomali jam pagi,0,safe,non-cyberbullying,,0,0.529178674351585
452,@pureagint,😜👆,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
453,@RidwanRidwan-l5g9o,Bay bay RRQ blundar blunder 👏👏,bay bay rrq blundar blunder,bay bay rrq blundar blunder,bay bay rrq blundar blunder,bay bay rrq blundar blunder,0,safe,non-cyberbullying,,0,0.529178674351585
454,@wahyuginanjar4884,🔥🔥,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
455,@Dedendestrisula,Testh,testh,testh,testh,testh,0,safe,non-cyberbullying,,0,0.529178674351585
456,@eugenic_galatea,"Rinz terlalu sombong, makan tu darksistem",rinz terlalu sombong makan tu darksistem,rinz terlalu sombong akan tu darksistem,rinz terlalu sombong tu darksistem,rinz terlalu sombong tu darksistem,0,safe,non-cyberbullying,,0,0.529178674351585
457,@bhy.kim0712,"Oiii RRQ jgn SOMBONG jdi tim.. ngata2 in ONIC ga jago! 
Tim klian tuh kliatan kren cma krna ada sutsujin doang cong🤣🤣..",oiii rrq jgn sombong jdi tim ngata in onic ga jago tim klian tuh kliatan kren cma krna ada sutsujin doang cong,oiii rrq jangan sombong jadi tim ngata in onic tidak jago tim klian tuh kliatan karena cuma karena ada sutsujin orang cong,oiii rrq jangan sombong jadi tim ngata in onic jago tim klian tuh kliatan cuma ada sutsujin orang cong,oiii rrq jangan sombong jadi tim ngata in onic jago tim klian tuh kliatan cuma ada sutsujin orang cong,0,safe,non-cyberbullying,,0,0.529178674351585
458,@LGP_GIAN,2:0🤫🤫,,,,,0,safe,non-cyberbullying,,0,0.529178674351585
459,@LGP_GIAN,RRQ BOT,rrq bot,rrq bot,rrq bot,rrq bot,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.529178674351585
460,@LGP_GIAN,RRQ BOT,rrq bot,rrq bot,rrq bot,rrq bot,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.529178674351585
461,@dida-c8n,Apalah zunes ga becus main kyk epikk main nya,apalah zunes ga becus main kyk epikk main nya,apalah zunes tidak becus main kyk epikk main ya,apalah zunes becus main kyk epikk main,apa zunes becus main kyk epikk main,0,safe,non-cyberbullying,,0,0.529178674351585
462,@Kedaikopilih,mampus ppq,mampus ppq,mampus ppq,mampus ppq,mampus ppq,5,moderate_toxic,cyberbullying,mampus(extreme:5),1,9.067901234567902
463,@edukidstvv,"MANA UJINN WOII, YANG BERMASALAH MID NYA YG DIGANTI MALAH UJIN
COBA LIAT MENIT INI COOO 25:15",mana ujinn woii yang bermasalah mid nya yg diganti malah ujin coba liat menit ini cooo,mana ujinn woii yang bermasalah mid ya yang diganti malah ujin coba liat menit ini cooo,mana ujinn woii bermasalah mid yang diganti malah ujin coba liat menit cooo,mana ujinn woii masalah mid yang ganti malah ujin coba liat menit cooo,0,safe,non-cyberbullying,,0,0.529178674351585
464,@traaWKWK,25:15 oakwoakw,oakwoakw,oakwoakw,oakwoakw,oakwoakw,0,safe,non-cyberbullying,,0,0.529178674351585
465,@NurhikmahNaming,Beda 10.000 gold lu mau come back. .mimpi,beda gold lu mau come back mimpi,beda gold kamu mau come back mimpi,beda gold kamu mau come back mimpi,beda gold kamu mau come back mimpi,0,safe,non-cyberbullying,,0,0.529178674351585
