id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying
110,@rodaodatv,Haha rinz rinz mati di tower 😂😂😂😂,haha rinz rinz mati di tower,haha rinz rinz mati di tower,haha rinz rinz mati tower,haha rinz rinz mati tower,5,moderate_toxic,cyberbullying,mati(extreme:5),1
111,@PutraCuakss-q2p,RRQ pokeee,rrq pokeee,rrq pokeee,rrq pokeee,rrq pokeee,0,safe,non-cyberbullying,,0
112,@AbdulAzis-u6s,Si pengkhianat,si pengkhianat,si pengkhianat,si pengkhianat,si khianat,0,safe,non-cyberbullying,,0
113,@almond-Kn1rh,abang lutpii🥶🥶,abang lutpii,abang lutpii,abang lutpii,abang lutpii,0,safe,non-cyberbullying,,0
114,@HPZZZ_COOL,Early nya si sama2 kuat ya,early nya si sama kuat ya,early ya si sama kuat ya,early si sama kuat,early si sama kuat,0,safe,non-cyberbullying,,0
115,@tresnaluthfi9,"kenapa sekarang jadinya ga di stage ya mainnya? sorry, baru nonton mpl lagi🙏🏻",kenapa sekarang jadinya ga di stage ya mainnya sorry baru nonton mpl lagi,kenapa sekarang jadinya tidak di stage ya mainnya sorry baru nonton mpl lagi,sekarang jadinya di stage mainnya sorry baru nonton mpl,sekarang jadi di stage main sorry baru nonton mpl,0,safe,non-cyberbullying,,0
116,@AlbaihaqieAlbaihaqie,dua kata lucu king toyy,dua kata lucu king toyy,dua kata lucu king toyy,kata lucu king toyy,kata lucu king toyy,0,safe,non-cyberbullying,,0
117,@NaonBae-m9p,katanya onic ga jago kok 2 0,katanya onic ga jago kok,katanya onic tidak jago kok,katanya onic jago kok,kata onic jago kok,0,safe,non-cyberbullying,,0
118,@BanjarMasin-b7q,Main Fasha nyari KDA baguss😂,main fasha nyari kda baguss,main fasha nyari kda baguss,main fasha nyari kda baguss,main fasha nyari kda baguss,0,safe,non-cyberbullying,,0
119,@DickyPersebaya,"Gua kigdom tapi sllu respet buat skylar dan di membuktikan klo tidak di pilih di roster rrq akhiranya dinobok rrq,, 
Coach k4ncut sedang memasak 😂",gua kigdom tapi sllu respet buat skylar dan di membuktikan klo tidak di pilih di roster rrq akhiranya dinobok rrq coach kncut sedang memasak,saya kigdom tapi sllu respet buat skylar dan di membuktikan kalau tidak di pilih di roster rrq akhiranya dinobok rrq coach kncut sedang memasak,kigdom sllu respet buat skylar membuktikan kalau di pilih di roster rrq akhiranya dinobok rrq coach kncut sedang memasak,kigdom sllu respet buat skylar bukti kalau di pilih di roster rrq akhiranya dinobok rrq coach kncut sedang masak,0,safe,non-cyberbullying,,0
120,@acelkunsiang852,"Early exp gendong,mid ke late gold yg ganti gendong
Mantaplah",early exp gendongmid ke late gold yg ganti gendong mantaplah,early exp gendongmid ke late gold yang nanti gendong mantaplah,early exp gendongmid late gold nanti gendong mantaplah,early exp gendongmid late gold nanti gendong mantap,0,safe,non-cyberbullying,,0
121,@MuhamadAran-y3n,jung rrq fokus minions aja,jung rrq fokus minions aja,jung rrq fokus minions saja,jung rrq fokus minions,jung rrq fokus minions,0,safe,non-cyberbullying,,0
122,@azisfirjiansyah6150,gokil lutpii,gokil lutpii,gokil lutpii,gokil lutpii,gokil lutpii,0,safe,non-cyberbullying,,0
123,@v-techannel6126,bisa ni M7,bisa ni m,bisa ni m,ni m,ni m,0,safe,non-cyberbullying,,0
124,@Rivaldoo695,"Toy gold udh ckup pdhl, tapi takut kalo join war😢",toy gold udh ckup pdhl tapi takut kalo join war,toy gold sudah ckup pdhl tapi takut kalau join war,toy gold ckup pdhl takut kalau join war,toy gold ckup pdhl takut kalau join war,0,safe,non-cyberbullying,,0
125,@apalah_sayaa,lutpii keren banget 🔥,lutpii keren banget,lutpii keren banget,lutpii keren banget,lutpii keren banget,0,safe,non-cyberbullying,,0
126,@EpaCokopa,pepeqy hoshi bot,pepeqy hoshi bot,pepeqy hoshi bot,pepeqy hoshi bot,pepeqy hoshi bot,0,safe,non-cyberbullying,,0
127,@RayapAspal-s2q,"ABOY PAK AP😂
RINZ BOT",aboy pak ap rinz bot,aboy pak ap rinz bot,aboy pak ap rinz bot,aboy pak ap rinz bot,0,safe,non-cyberbullying,,0
128,@AkunAp-p7w,Savero😢😢,savero,savero,savero,savero,0,safe,non-cyberbullying,,0
129,@meisyaafsheenaoktavia,Kok gak di MPL Arena pertandingan nya?,kok gak di mpl arena pertandingan nya,kok tidak di mpl karena pertandingan ya,kok di mpl pertandingan,kok di mpl tanding,0,safe,non-cyberbullying,,0
130,@agusceplukan6850,Hai kalian para karbit. Silakan liat. Kecwa kan skylar gk mati xixixixix,hai kalian para karbit silakan liat kecwa kan skylar gk mati xixixixix,hai kalian para karbit silakan liat kecwa akan skylar tidak mati xixixixix,hai kalian karbit silakan liat kecwa skylar mati xixixixix,hai kalian karbit sila liat kecwa skylar mati xixixixix,5,moderate_toxic,cyberbullying,mati(extreme:5),1
131,@sue_ai,RRQ POOKEE,rrq pookee,rrq pookee,rrq pookee,rrq pookee,0,safe,non-cyberbullying,,0
132,@gdaratt-po2ny,Hahahah badut badut 😂😂😂,hahahah badut badut,hahahah badut badut,hahahah badut badut,hahahah badut badut,0,safe,non-cyberbullying,,0
133,@ryanalbiansyah5351,"""RINZ DONGOOOOO""
udah gitu aja pokonya",rinz dongooooo udah gitu aja pokonya,rinz dongooooo sudah gitu saja pokonya,rinz dongooooo gitu pokonya,rinz dongooooo gitu poko,0,safe,non-cyberbullying,,0
134,@wahyuardiansyah9163,Arlott menggila,arlott menggila,arlott menggila,arlott menggila,arlott gila,0,safe,non-cyberbullying,,0
135,@DemzReaction07,Toys=Mainannya king Skylark yakkk🤭🤭🤭,toysmainannya king skylark yakkk,toysmainannya king skylark yakkk,toysmainannya king skylark yakkk,toysmainannya king skylark yakkk,0,safe,non-cyberbullying,,0
136,@noname-qr2rq,lutpi jago bngt gila,lutpi jago bngt gila,lutpi jago banget gila,lutpi jago banget gila,lutpi jago banget gila,0,safe,non-cyberbullying,,0
137,@bahrunak9657,Ngak usah dilanjut lah mpl nya langsung aja kirim ke gh onic pialanya,ngak usah dilanjut lah mpl nya langsung aja kirim ke gh onic pialanya,ngak usah dilanjut lah mpl ya langsung saja kirim ke gh onic pialanya,ngak usah dilanjut lah mpl langsung kirim gh onic pialanya,ngak usah lanjut lah mpl langsung kirim gh onic piala,0,safe,non-cyberbullying,,0
138,@LeeCarbeat,indog tanpa PH hanya abang abang gorengan yang fomo maen ML,indog tanpa ph hanya abang abang gorengan yang fomo maen ml,indog tanpa ph hanya abang abang gorengan yang fomo maen ml,indog ph abang abang gorengan fomo maen ml,indog ph abang abang goreng fomo maen ml,0,safe,non-cyberbullying,,0
139,@EricPrabowo-lk7bw,"""Apaitu Sanz? Ini Rinz yak!"" 🤡🤡🤡🤡🤡",apaitu sanz ini rinz yak,apaitu sanz ini rinz ya,apaitu sanz rinz,apaitu sanz rinz,0,safe,non-cyberbullying,,0
140,@aziekusumah1055,"Ksi paham bang lerrrr , smangat teruss jagoanku",ksi paham bang lerrrr smangat teruss jagoanku,ksi paham bang lerrrr smangat terus jagoanku,ksi paham bang lerrrr smangat terus jagoanku,ksi paham bang lerrrr smangat terus jago,0,safe,non-cyberbullying,,0
141,@minjes-c9m,Zunesh mntang² first blood dia lngsung pd bgt pdhl itu pasti udh bakal kebaca sma onic,zunesh mntang first blood dia lngsung pd bgt pdhl itu pasti udh bakal kebaca sma onic,zunesh mntang first blood dia lngsung pd banget pdhl itu pasti sudah bakal kebaca sama onic,zunesh mntang first blood lngsung pd banget pdhl pasti bakal kebaca sama onic,zunesh mntang first blood lngsung pd banget pdhl pasti bakal baca sama onic,0,safe,non-cyberbullying,,0
142,@Firdiansyah987,LANGSUNG AJA KASIH PIALANYA KE ONIC 🥶😂,langsung aja kasih pialanya ke onic,langsung saja kasih pialanya ke onic,langsung kasih pialanya onic,langsung kasih piala onic,0,safe,non-cyberbullying,,0
143,@valnn12,fanny impure jir🗿,fanny impure jir,fanny impure jir,fanny impure jir,fanny impure jir,0,safe,non-cyberbullying,,0
144,@RasyaAjaye,"Jadi malu yang bilang, toy mau sekolahin skylar😂😂😂",jadi malu yang bilang toy mau sekolahin skylar,jadi malu yang bilang toy mau sekolahin skylar,jadi malu bilang toy mau sekolahin skylar,jadi malu bilang toy mau sekolahin skylar,0,safe,non-cyberbullying,,0
145,@DreKurniawan21,Udhla mending RRQ cari lawan yg lain'jgn lawan Onic percuma endingnya tetap klh jga😂,udhla mending rrq cari lawan yg lainjgn lawan onic percuma endingnya tetap klh jga,udhla mending rrq cari lawan yang lainjgn lawan onic percuma endingnya tetap klh juga,udhla mending rrq cari lawan lainjgn lawan onic percuma endingnya tetap klh,udhla mending rrq cari lawan lainjgn lawan onic percuma endingnya tetap klh,0,safe,non-cyberbullying,,0
146,@NhaDamCuti,EL leader mati dibase lho yah😂😂😂,el leader mati dibase lho yah,el leader mati dibase lho ya,el leader mati dibase lho,el leader mati dibase lho,5,moderate_toxic,cyberbullying,mati(extreme:5),1
147,@anggiajuliani6126,Match yang ga ngebosenim buat di rewatch 😆😆,match yang ga ngebosenim buat di rewatch,match yang tidak ngebosenim buat di rewatch,match tidak ngebosenim buat rewatch,match tidak ngebosenim buat rewatch,0,safe,non-cyberbullying,,0
148,@NinditaSyafa,Tumben toyy gak pake granger,tumben toyy gak pake granger,tumben toyy tidak pakai granger,tumben toyy pakai granger,tumben toyy pakai granger,0,safe,non-cyberbullying,,0
149,@Rrrqi,Kami adalah penyokong dari Malaysia...,kami adalah penyokong dari malaysia,kami adalah penyokong dari malaysia,adalah penyokong malaysia,adalah sokong malaysia,0,safe,non-cyberbullying,,0
150,@Rrrqi,"ONIC ID + SKYLER = CALON KUAT JUARA M7! 🔥

Aku nampak potensi besar ONIC ID di M7 kali ni. Masuknya Skylar dalam roster jadi turning point. Kenapa?

1️⃣ Pengalaman & Reputasi
Skylar bukan player biasa – dia bekas anak murid Arcadia (coach SRG OG). Dari dulu kita tau Arcadia pandai gilap gold laner, dan Skylar antara hasil terbaik.

2️⃣ Rekod Antarabangsa
Skylar pernah catat 16 kill di pentas internasional sebagai gold laner – ranking kedua tertinggi dunia. Yang pertama pegang rekod tu Innocent dari team SRG OG. Ini bukti Skylar bukan sekadar “nama besar”, tapi memang ada bukti prestasi.

3️⃣ Roster ONIC Dah Lengkap
Dari semua sudut laner, ONIC ID sekarang hampir sempurna – roamer solid, mid stabil, jungler konsisten, exp kuat, dan kini gold lane ada Skylar. Balance semua line.

4️⃣ Kunci Kemenangan = Mental & Disiplin
Skill mereka dah world class, tinggal mentaliti & disiplin yang perlu dikunci rapat. Kalau ONIC ID main dengan penuh keyakinan, jaga disiplin dan komunikasi, peluang jadi Juara M7 memang besar.

👉 Jadi, jangan ragu – ONIC ID dengan Skylar memang ada DNA juara! 🇮🇩🏆🔥",onic id skyler calon kuat juara m aku nampak potensi besar onic id di m kali ni masuknya skylar dalam roster jadi turning point kenapa pengalaman reputasi skylar bukan player biasa dia bekas anak murid arcadia coach srg og dari dulu kita tau arcadia pandai gilap gold laner dan skylar antara hasil terbaik rekod antarabangsa skylar pernah catat kill di pentas internasional sebagai gold laner ranking kedua tertinggi dunia yang pertama pegang rekod tu innocent dari team srg og ini bukti skylar bukan sekadar nama besar tapi memang ada bukti prestasi roster onic dah lengkap dari semua sudut laner onic id sekarang hampir sempurna roamer solid mid stabil jungler konsisten exp kuat dan kini gold lane ada skylar balance semua line kunci kemenangan mental disiplin skill mereka dah world class tinggal mentaliti disiplin yang perlu dikunci rapat kalau onic id main dengan penuh keyakinan jaga disiplin dan komunikasi peluang jadi juara m memang besar jadi jangan ragu onic id dengan skylar memang ada dna juara,onic id skyler calon kuat juara m aku nampak potensi benar onic id di m kali ni masuknya skylar dalam roster jadi turning point kenapa pengalaman reputasi skylar bukan player bisa dia bekas anak murid arcadia coach srg og dari dulu kita tahu arcadia pandai gilap gold laner dan skylar antara hasil terbaik rekod antarabangsa skylar pernah catat kill di pentas internasional sebagai gold laner ranking kedua tertinggi dunia yang pertama pegang rekod tu innocent dari team srg og ini bukti skylar bukan sekadar nama benar tapi memang ada bukti prestasi roster onic sudah lengkap dari semua sudut laner onic id sekarang hampir sempurna roamer solid mid stabil jungler konsisten exp kuat dan kini gold lane ada skylar balance semua line kunci kemenangan mental disiplin skill mereka sudah world class tinggal mentaliti disiplin yang perlu dikunci dapat kalau onic id main dengan penuh keyakinan jaga disiplin dan komunikasi peluang jadi juara m memang benar jadi jangan ragu onic id dengan skylar memang ada dna juara,onic id skyler calon kuat juara m aku nampak potensi benar onic id m kali ni masuknya skylar roster jadi turning point pengalaman reputasi skylar bukan player dia bekas anak murid arcadia coach srg og dulu tahu arcadia pandai gilap gold laner skylar hasil terbaik rekod antarabangsa skylar pernah catat kill pentas internasional gold laner ranking kedua tertinggi dunia pertama pegang rekod tu innocent team srg og bukti skylar bukan sekadar nama benar memang bukti prestasi roster onic lengkap semua sudut laner onic id sekarang hampir sempurna roamer solid mid stabil jungler konsisten exp kuat kini gold lane skylar balance semua line kunci kemenangan mental disiplin skill sudah world class tinggal mentaliti disiplin perlu dikunci kalau onic id main penuh keyakinan jaga disiplin komunikasi peluang jadi juara m memang benar jadi jangan ragu onic id skylar memang dna juara,onic id skyler calon kuat juara m aku nampak potensi benar onic id m kali ni masuk skylar roster jadi turning point alam reputasi skylar bukan player dia bekas anak murid arcadia coach srg og dulu tahu arcadia pandai gilap gold laner skylar hasil baik rekod antarabangsa skylar pernah catat kill pentas internasional gold laner ranking dua tinggi dunia pertama pegang rekod tu innocent team srg og bukti skylar bukan sekadar nama benar memang bukti prestasi roster onic lengkap semua sudut laner onic id sekarang hampir sempurna roamer solid mid stabil jungler konsisten exp kuat kini gold lane skylar balance semua line kunci menang mental disiplin skill sudah world class tinggal mentaliti disiplin perlu kunci kalau onic id main penuh yakin jaga disiplin komunikasi peluang jadi juara m memang benar jadi jangan ragu onic id skylar memang dna juara,0,safe,non-cyberbullying,,0
151,@palakabuntuik8651,Rinz Out ntah apa aja midlane nya kacau kali,rinz out ntah apa aja midlane nya kacau kali,rinz out ntah apa saja midlane ya kalau kali,rinz out ntah apa midlane kalau kali,rinz out ntah apa midlane kalau kali,0,safe,non-cyberbullying,,0
152,@akankackew,"Udh Fiks ini sh, Onic juara MPL lgi, dan udh fiks Onic mental Pgen Juara D M series keliatan, inget kan apa kata Luke sma Aeron, pas Onic Maen, ini Onic kuat banget loh, udh Kya Kelra sma Kingkong",udh fiks ini sh onic juara mpl lgi dan udh fiks onic mental pgen juara d m series keliatan inget kan apa kata luke sma aeron pas onic maen ini onic kuat banget loh udh kya kelra sma kingkong,sudah fiks ini sh onic juara mpl lagi dan sudah fiks onic mental pgen juara d m series keliatan inget akan apa kata luke sama aeron pas onic maen ini onic kuat banget loh sudah ya kelra sama kingkong,fiks sh onic juara mpl dan fiks onic mental pgen juara d m series keliatan inget apa kata luke sama aeron pas onic maen onic kuat banget loh ya kelra sama kingkong,fiks sh onic juara mpl dan fiks onic mental pgen juara d m series liat inget apa kata luke sama aeron pas onic maen onic kuat banget loh ya kelra sama kingkong,0,safe,non-cyberbullying,,0
153,@Santawii191,Utamakan Sanz klo war mau menang lawan onic,utamakan sanz klo war mau menang lawan onic,utamakan sanz kalau war mau memang lawan onic,utamakan sanz kalau war mau memang lawan onic,utama sanz kalau war mau memang lawan onic,0,safe,non-cyberbullying,,0
154,@chuupatkay,King sanz and Prince Skylark mengoreng RRQ😅,king sanz and prince skylark mengoreng rrq,king sanz and prince skylark mengoreng rrq,king sanz and prince skylark mengoreng rrq,king sanz and prince skylark oreng rrq,0,safe,non-cyberbullying,,0
155,@mariosilalahi5424,RRQ TERLUNGKUP 😅😅,rrq terlungkup,rrq terlungkup,rrq terlungkup,rrq terlungkup,0,safe,non-cyberbullying,,0
156,@rapier22,Savero mana?,savero mana,savero mana,savero mana,savero mana,0,safe,non-cyberbullying,,0
157,@jerrysonirwan,LUTPIII JAGO BGT COKKK,lutpiii jago bgt cokkk,lutpiii jago banget cokkk,lutpiii jago banget cokkk,lutpiii jago banget cokkk,0,safe,non-cyberbullying,,0
158,@annisafathur9213,Lutpiiii makin waah aja❤,lutpiiii makin waah aja,lutpiiii makin waah saja,lutpiiii makin waah,lutpiiii makin waah,0,safe,non-cyberbullying,,0
159,@kualinim358,"dulu astaga lutpi😩
sekarang astaga lutpi😱",dulu astaga lutpi sekarang astaga lutpi,dulu astaga lutpi sekarang astaga lutpi,dulu astaga lutpi sekarang astaga lutpi,dulu astaga lutpi sekarang astaga lutpi,0,safe,non-cyberbullying,,0
160,@abrilliant6052,Zhuxin di pick baloy kata lim kocak,zhuxin di pick baloy kata lim kocak,zhuxin di pick baloy kata lim kocak,zhuxin pick baloy kata lim kocak,zhuxin pick baloy kata lim kocak,0,safe,non-cyberbullying,,0
161,@Johan14-u9e,Fany cacat sosoan gembel,fany cacat sosoan gembel,fany cacat sosoan gembel,fany cacat sosoan gembel,fany cacat sosoan gembel,4,moderate_toxic,cyberbullying,cacat(personal:4),1
162,@habibbb9825,"5 kata lucu 
Toyy lebih jago daripada skylar😂😂😂",kata lucu toyy lebih jago daripada skylar,kata lucu toyy lebih jago daripada skylar,kata lucu toyy lebih jago skylar,kata lucu toyy lebih jago skylar,0,safe,non-cyberbullying,,0
163,@Ramadhan-r6z,Casternya berat sebelah jirr...,casternya berat sebelah jirr,casternya berat sebelah jirr,casternya berat sebelah jirr,casternya berat belah jirr,0,safe,non-cyberbullying,,0
164,@yogakun5169,"Udah lah, onic gak jago kata mid line yyq",udah lah onic gak jago kata mid line yyq,sudah lah onic tidak jago kata mid line yyq,lah onic jago kata mid line yyq,lah onic jago kata mid line yyq,0,safe,non-cyberbullying,,0
165,@Yukihime-i7s,rrq -1 mage,rrq mage,rrq mage,rrq mage,rrq mage,0,safe,non-cyberbullying,,0
166,@Ueiehehiee,Udah di bilang juga badut tetap aja🤡🤡,udah di bilang juga badut tetap aja,sudah di bilang juga badut tetap saja,di bilang badut tetap,di bilang badut tetap,0,safe,non-cyberbullying,,0
167,@adyymusic1425,di game 1 ini sumpah liat pharsa nya w sebagai public juga ngakak posisi apaan dah ini pro player masa gini 🗿😂,di game ini sumpah liat pharsa nya w sebagai public juga ngakak posisi apaan dah ini pro player masa gini,di game ini sumpah liat pharsa ya w sebagai public juga ngakak posisi apaan sudah ini pro player masa gini,game sumpah liat pharsa w public ngakak posisi apaan ini pro player masa gini,game sumpah liat pharsa w public ngakak posisi apa ini pro player masa gin,0,safe,non-cyberbullying,,0
168,@harja_saputra95,Karena skylar ke Onic ya udah gua dukung Onic,karena skylar ke onic ya udah gua dukung onic,karena skylar ke onic ya sudah saya dukung onic,skylar onic sudah dukung onic,skylar onic sudah dukung onic,0,safe,non-cyberbullying,,0
169,@dimokboy7651,"Gua udah bilang ribuan x Toy ini mm ampas, liat aja positioningnya kocak",gua udah bilang ribuan x toy ini mm ampas liat aja positioningnya kocak,saya sudah bilang ribuan x toy ini mm ampas liat saja positioningnya kocak,sudah bilang ribuan x toy mm ampas liat positioningnya kocak,sudah bilang ribu x toy mm ampas liat positioningnya kocak,4,moderate_toxic,cyberbullying,ampas(personal:4),1
170,@renaldyalvaro4095,Onic vs partyan warkop 🗿🗿,onic vs partyan warkop,onic vs partyan warkop,onic vs partyan warkop,onic vs partyan warkop,0,safe,non-cyberbullying,,0
171,@andremarolobs7614,CASTER TOLONG NETRAL DONG .,caster tolong netral dong,caster tolong netral dong,caster netral dong,caster netral dong,0,safe,non-cyberbullying,,0
172,@raflyy2007,arlottnya jago,arlottnya jago,arlottnya jago,arlottnya jago,arlottnya jago,0,safe,non-cyberbullying,,0
173,@turahkazeo5591,Cemilan onic😂,cemilan onic,cemilan onic,cemilan onic,cemilan onic,0,safe,non-cyberbullying,,0
174,@adisucipto1706,Aga ngaakak liat item natan,aga ngaakak liat item natan,aga ngaakak liat item natan,aga ngaakak liat item natan,aga ngaakak liat item natan,0,safe,non-cyberbullying,,0
175,@16_Dinda,"""dominasi onic emang sangat total bgt"" 

trs tiba² bahas ""satu satunya cara menang lawan zunesh"". eh kocak dah ni caster satu",dominasi onic emang sangat total bgt trs tiba bahas satu satunya cara menang lawan zunesh eh kocak dah ni caster satu,dominasi onic memang sangat total banget terus tiba bahas satu satunya cara memang lawan zunesh eh kocak sudah ni caster satu,dominasi onic memang sangat total banget terus tiba bahas satu satunya cara memang lawan zunesh eh kocak ni caster satu,dominasi onic memang sangat total banget terus tiba bahas satu satu cara memang lawan zunesh eh kocak ni caster satu,0,safe,non-cyberbullying,,0
176,@kalebsafan2671,yang bisa ngalahin onic cuman evos,yang bisa ngalahin onic cuman evos,yang bisa ngalahin onic cuma evos,bisa ngalahin onic cuma evos,bisa ngalahin onic cuma evos,0,safe,non-cyberbullying,,0
177,@kikidermawan-q9b,kok msh ada ya yg blg dyren lebih jago drpd lutpi 😂,kok msh ada ya yg blg dyren lebih jago drpd lutpi,kok msh ada ya yang blg dyren lebih jago drpd lutpi,kok msh ya blg dyren lebih jago drpd lutpi,kok msh ya blg dyren lebih jago drpd lutpi,0,safe,non-cyberbullying,,0
178,@nightmaress7,itu Rinzz cuman bisa banyak gaya doang kah?😂😂,itu rinzz cuman bisa banyak gaya doang kah,itu rinzz cuma bisa banyak gaya orang kah,rinzz cuma banyak gaya orang,rinzz cuma banyak gaya orang,0,safe,non-cyberbullying,,0
179,@SutiSari-g4z,pasep mau di tutor parsah smaa midlane jago hhh,pasep mau di tutor parsah smaa midlane jago hhh,pasep mau di tutor parsah smaa midlane jago hhh,pasep mau tutor parsah smaa midlane jago hhh,pasep mau tutor parsah smaa midlane jago hhh,0,safe,non-cyberbullying,,0
180,@raflyy2007,raja lokal vs raja lokal sebenernya,raja lokal vs raja lokal sebenernya,raja lokal vs raja lokal sebenernya,raja lokal vs raja lokal sebenernya,raja lokal vs raja lokal sebenernya,0,safe,non-cyberbullying,,0
181,@abenmoon1736,W LUPTI 🥶,w lupti,w lupti,w lupti,w lupti,0,safe,non-cyberbullying,,0
182,@Godze-65,Makan tuh skylar,makan tuh skylar,akan tuh skylar,tuh skylar,tuh skylar,0,safe,non-cyberbullying,,0
183,@Pyy120hz,gelo arlot lutpi,gelo arlot lutpi,gelo arlot lutpi,gelo arlot lutpi,gelo arlot lutpi,0,safe,non-cyberbullying,,0
184,@16_Dinda,caster masih condong mulu dah,caster masih condong mulu dah,caster kasih condong mulu sudah,caster kasih condong mulu,caster kasih condong mulu,0,safe,non-cyberbullying,,0
185,@syarifiqbal434,untung  baxia kumar diban,untung baxia kumar diban,untung baxia kumar diban,untung baxia kumar diban,untung baxia mar ban,0,safe,non-cyberbullying,,0
186,@ArmendinoDasilva,Ini ni yg katanya Toy lebih jago dari Skylar yaa😂,ini ni yg katanya toy lebih jago dari skylar yaa,ini ni yang katanya toy lebih jago dari skylar ya,ni katanya toy lebih jago skylar,ni kata toy lebih jago skylar,0,safe,non-cyberbullying,,0
187,@syatriaerlangga1602,"Tim yg fansnya epic sampai honor karena lebih penting gimik dibanding skill = RRQ

Tim yg fansnya Glory sampai Imortal karena lebih penting skill dibanding gimik = ONIC",tim yg fansnya epic sampai honor karena lebih penting gimik dibanding skill rrq tim yg fansnya glory sampai imortal karena lebih penting skill dibanding gimik onic,tim yang fansnya epic sampai honor karena lebih penting gimik dibanding skill rrq tim yang fansnya glory sampai imortal karena lebih penting skill dibanding gimik onic,tim fansnya epic honor lebih penting gimik dibanding skill rrq tim fansnya glory imortal lebih penting skill dibanding gimik onic,tim fansnya epic honor lebih penting gimik banding skill rrq tim fansnya glory imortal lebih penting skill banding gimik onic,0,safe,non-cyberbullying,,0
188,@ridhocikalyunoniko20,Itu ko nga di panggung mainnya,itu ko nga di panggung mainnya,itu ko nga di panggung mainnya,ko nga panggung mainnya,ko nga panggung main,0,safe,non-cyberbullying,,0
189,@yuzhonggg-ec6iv,Fanny indo cuma dongeng ya coach kezcute,fanny indo cuma dongeng ya coach kezcute,fanny indo cuma dongeng ya coach kezcute,fanny indo cuma dongeng coach kezcute,fanny indo cuma dongeng coach kezcute,0,safe,non-cyberbullying,,0
190,@Rere46official,Kalau bisa serang aja di ige nya rinz biar tau dia,kalau bisa serang aja di ige nya rinz biar tau dia,kalau bisa serang saja di ige ya rinz biar tahu dia,kalau serang di ige rinz biar tahu,kalau serang di ige rinz biar tahu,0,safe,non-cyberbullying,,0
191,@VirgiMawa-cr9gq,Liat lah onic semakin keras dan tidak ada 1 tim yang  bisa menumbangkan onic,liat lah onic semakin keras dan tidak ada tim yang bisa menumbangkan onic,liat lah onic semakin keras dan tidak ada tim yang bisa menumbangkan onic,liat lah onic semakin keras tidak tim bisa menumbangkan onic,liat lah onic makin keras tidak tim bisa tumbang onic,0,safe,non-cyberbullying,,0
192,@RayyankaJr,udah beda jersi lek,udah beda jersi lek,sudah beda jersi lek,beda jersi lek,beda jersi lek,0,safe,non-cyberbullying,,0
193,@bennyadit9259,"Semoga skylar cepet beradaptasi di onic, biar makin enak dan ngga terlalu beban",semoga skylar cepet beradaptasi di onic biar makin enak dan ngga terlalu beban,semoga skylar cepet beradaptasi di onic biar makin enak dan ngga terlalu beban,semoga skylar cepet beradaptasi onic biar makin enak ngga terlalu beban,moga skylar cepet adaptasi onic biar makin enak ngga terlalu beban,0,safe,non-cyberbullying,,0
194,@budihandoko5106,ppq,ppq,ppq,ppq,ppq,0,safe,non-cyberbullying,,0
195,@zola.family888,dyren main sediri,dyren main sediri,dyren main sediri,dyren main sediri,dyren main diri,0,safe,non-cyberbullying,,0
196,@Muhammadghuzdulazam,Orang2 tolol bisa2nya Sanz dibandingin ama rinzz ngakak,orang tolol bisanya sanz dibandingin ama rinzz ngakak,orang tolol bisanya sanz dibandingin sama rinzz ngakak,orang tolol bisanya sanz dibandingin sama rinzz ngakak,orang tolol bisa sanz dibandingin sama rinzz ngakak,4,moderate_toxic,cyberbullying,tolol(personal:4),1
197,@kyfanbuteng5977,😝😝😛🤘🤘,,,,,0,safe,non-cyberbullying,,0
198,@sys48,LIM CASTER POKE,lim caster poke,lim caster poke,lim caster poke,lim caster poke,0,safe,non-cyberbullying,,0
199,@Brutush,"“Bukan musuh yg jago, tapi kita yg terlalu tolol”😢",bukan musuh yg jago tapi kita yg terlalu tolol,bukan musuh yang jago tapi kita yang terlalu tolol,bukan musuh jago kita terlalu tolol,bukan musuh jago kita terlalu tolol,4,moderate_toxic,cyberbullying,tolol(personal:4),1
200,@udinasep9720,gelo lutpi arcelot,gelo lutpi arcelot,gelo lutpi arcelot,gelo lutpi arcelot,gelo lutpi arcelot,0,safe,non-cyberbullying,,0
201,@dimaspramudya880,Pharsa pharsa poke bener mati dalem base😂😂,pharsa pharsa poke bener mati dalem base,pharsa pharsa poke benar mati dalem base,pharsa pharsa poke benar mati dalem base,pharsa pharsa poke benar mati dalem base,5,moderate_toxic,cyberbullying,mati(extreme:5),1
202,@Yutan_Channel,Fix Zunesh beban tim lol,fix zunesh beban tim lol,fix zunesh beban tim lol,fix zunesh beban tim lol,fix zunesh beban tim lol,0,safe,non-cyberbullying,,0
203,@adityaputra4814,Diobok obok sama mas mantan wkwkwk,diobok obok sama mas mantan wkwkwk,diobok goblok sama mas mantan wkwkwk,diobok goblok sama mas mantan wkwkwk,diobok goblok sama mas mantan wkwkwk,4,moderate_toxic,cyberbullying,goblok(personal:4),1
204,@andriandri3112,Ngeri lance Kairi😮😮,ngeri lance kairi,ngeri lance kairi,ngeri lance kairi,ngeri lance kairi,0,safe,non-cyberbullying,,0
205,@NikoKristiyanto-j3b,fani lawakk😂😂,fani lawakk,fani lawakk,fani lawakk,fani lawakk,0,safe,non-cyberbullying,,0
