id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying,sample_weight
506,@rus01-b7u,Skylar: akhirnya bisa ngerasain main ber5,skylar akhirnya bisa ngerasain main ber,skylar akhirnya bisa ngerasain main ber,skylar akhirnya ngerasain main ber,skylar akhir ngerasain main ber,0,safe,non-cyberbullying,,0,0.5300732217573222
507,@satriamasjen,Gunta ganti pemain terus setiap seson🗿,gunta ganti pemain terus setiap seson,gunta nanti pemain terus setiap seson,gunta pemain terus seson,gunta main terus seson,0,safe,non-cyberbullying,,0,0.5300732217573222
508,@darkfoxyt1686,😜👆 mikir kids,mikir kids,mikir kids,mikir kids,mikir kids,0,safe,non-cyberbullying,,0,0.5300732217573222
509,@afdall4397,Kecewa lah ujin gak main. Tapi epic for ONIC. Wleeee ☝️😜,kecewa lah ujin gak main tapi epic for onic wleeee,kecewa lah ujin tidak main tapi epic for onic wleeee,kecewa lah ujin main epic for onic wleeee,kecewa lah ujin main epic for onic wleeee,0,safe,non-cyberbullying,,0,0.5300732217573222
510,@geminigurlllll,caster pro rrq😂😂😂😂,caster pro rrq,caster pro rrq,caster pro rrq,caster pro rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
511,@SungaiDuri-k5n,"Sebagai penggemar rrq dri jaman 02 sampai skrg udh pensi main ml karena udh berkeluarga, sehat2 dah RRQ ku , saya tetap mendukung mu",sebagai penggemar rrq dri jaman sampai skrg udh pensi main ml karena udh berkeluarga sehat dah rrq ku saya tetap mendukung mu,sebagai penggemar rrq dari jaman sampai skrg sudah pensi main ml karena sudah berkeluarga sehat sudah rrq aku saya tetap mendukung mu,penggemar rrq jaman skrg pensi main ml berkeluarga sehat sudah rrq aku tetap mendukung mu,gemar rrq jaman skrg pensi main ml keluarga sehat sudah rrq aku tetap dukung mu,0,safe,non-cyberbullying,,0,0.5300732217573222
512,@RayRoy-c5b,udah bagus sutsujin malah di ganti zunesh,udah bagus sutsujin malah di ganti zunesh,sudah bagus sutsujin malah di nanti zunesh,bagus sutsujin malah nanti zunesh,bagus sutsujin malah nanti zunesh,0,safe,non-cyberbullying,,0,0.5300732217573222
513,@mohammadromadhon6245,Idok ngapain aja?,idok ngapain aja,idok ngapain saja,idok ngapain,idok ngapain,0,safe,non-cyberbullying,,0,0.5300732217573222
514,@haffox5519,"Moment 23:30 "" cabut cabut cabut anak blonde""",moment cabut cabut cabut anak blonde,moment cabut cabut cabut anak blonde,moment cabut cabut cabut anak blonde,moment cabut cabut cabut anak blonde,0,safe,non-cyberbullying,,0,0.5300732217573222
515,@irvan7679,5:30,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
516,@donyardian4094,Fans skyler meresahkan 😂😂😂 klo yg GG skyler lha kok dulu sama idok sutsujin rinz b aja?,fans skyler meresahkan klo yg gg skyler lha kok dulu sama idok sutsujin rinz b aja,fans skyler meresahkan kalau yang gg skyler lha kok dulu sama idok sutsujin rinz b saja,fans skyler meresahkan kalau gg skyler lha kok dulu sama idok sutsujin rinz b,fans skyler resah kalau gg skyler lha kok dulu sama idok sutsujin rinz b,0,safe,non-cyberbullying,,0,0.5300732217573222
517,@adhefebriansetiadi5866,#rrq raja kalah mulu ini mah...😂😂😂😂,raja kalah mulu ini mah,raja kalau mulu ini mah,raja kalau mulu mah,raja kalau mulu mah,0,safe,non-cyberbullying,,0,0.5300732217573222
518,@abayabuyabuyabay,MINGGIR SEMUANYAA KASIH PIALA KE ONIC,minggir semuanyaa kasih piala ke onic,minggir semuanyaa kasih piala ke onic,minggir semuanyaa kasih piala onic,minggir semuanyaa kasih piala onic,0,safe,non-cyberbullying,,0,0.5300732217573222
519,@muhammaduzair7327,casternya berat sebelah wkwk,casternya berat sebelah wkwk,casternya berat sebelah wkwk,casternya berat sebelah wkwk,casternya berat belah wkwk,0,safe,non-cyberbullying,,0,0.5300732217573222
520,@muhammadfahrifahri6976,Tim RRQ udh pada totol semua pada maen.,tim rrq udh pada totol semua pada maen,tim rrq sudah pada totol semua pada maen,tim rrq totol semua pada maen,tim rrq totol semua pada maen,0,safe,non-cyberbullying,,0,0.5300732217573222
521,@family_cat577,AURA COMEBACK PPQ? LUCU 😂,aura comeback ppq lucu,aura comeback ppq lucu,aura comeback ppq lucu,aura comeback ppq lucu,0,safe,non-cyberbullying,,0,0.5300732217573222
522,@yoansyah6656,Kingdom lagi nangis di pojokan,kingdom lagi nangis di pojokan,kingdom lagi nangis di pojokan,kingdom nangis pojokan,kingdom nang pojok,0,safe,non-cyberbullying,,0,0.5300732217573222
523,@fandialfarizi05,aura kambek? lucu komentatornya,aura kambek lucu komentatornya,aura kambek lucu komentatornya,aura kambek lucu komentatornya,aura kambek lucu komentator,0,safe,non-cyberbullying,,0,0.5300732217573222
524,@Shalnark_12,Onic playernya monster semua,onic playernya monster semua,onic playernya monster semua,onic playernya monster semua,onic playernya monster semua,0,safe,non-cyberbullying,,0,0.5300732217573222
525,@idhamkholid2133,Ganti gelar rrq jadi raja ompong wkwkwk,ganti gelar rrq jadi raja ompong wkwkwk,nanti gelar rrq jadi raja ompong wkwkwk,gelar rrq jadi raja ompong wkwkwk,gelar rrq jadi raja ompong wkwkwk,0,safe,non-cyberbullying,,0,0.5300732217573222
526,@GilangRamadhan-wo5lt,Jalan kaki,jalan kaki,jalan kaki,jalan kaki,jalan kaki,0,safe,non-cyberbullying,,0,0.5300732217573222
527,@braxgg300,Wkwkkwkwk telor telor jual aj itu tim😂,wkwkkwkwk telor telor jual aj itu tim,wkwkkwkwk telor telor jual saja itu tim,wkwkkwkwk telor telor jual itu tim,wkwkkwkwk telor telor jual itu tim,0,safe,non-cyberbullying,,0,0.5300732217573222
528,@ajimjim285,"aku suka skylar masuk onic, lbih teamwork dri RRQ yg selalu sombong mcm tahikkk, onic lbih tenAng",aku suka skylar masuk onic lbih teamwork dri rrq yg selalu sombong mcm tahikkk onic lbih tenang,aku suka skylar masuk onic lbih teamwork dari rrq yang selalu sombong mcm tahikkk onic lbih tenang,aku suka skylar masuk onic lbih teamwork rrq selalu sombong mcm tahikkk onic lbih tenang,aku suka skylar masuk onic lbih teamwork rrq selalu sombong mcm tahikkk onic lbih tenang,0,safe,non-cyberbullying,,0,0.5300732217573222
529,@mlmomento-1,Rrq bot,rrq bot,rrq bot,rrq bot,rrq bot,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.5300732217573222
530,@harlywild2851,Coba favian feat aeronshiki gak sih rrq,coba favian feat aeronshiki gak sih rrq,coba favian feat aeronshiki tidak sih rrq,coba favian feat aeronshiki sih rrq,coba favian feat aeronshiki sih rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
531,@Dayakz,Jungler rrq kaga bisa main 😂😂😂,jungler rrq kaga bisa main,jungler rrq kaga bisa main,jungler rrq kaga main,jungler rrq kaga main,0,safe,non-cyberbullying,,0,0.5300732217573222
532,@RijkiNur-r5o,Onic latihan di tayangin?,onic latihan di tayangin,onic latihan di tayangin,onic latihan tayangin,onic latih tayangin,0,safe,non-cyberbullying,,0,0.5300732217573222
533,@RijkiNur-r5o,Onic latihan di tayangin?,onic latihan di tayangin,onic latihan di tayangin,onic latihan tayangin,onic latih tayangin,0,safe,non-cyberbullying,,0,0.5300732217573222
534,@KumbangPerindu,Zutzujin masih bagus hasel gitu kan enk 2jangler yg hbat itu,zutzujin masih bagus hasel gitu kan enk jangler yg hbat itu,zutzujin kasih bagus hasel gitu akan enk jangler yang hbat itu,zutzujin kasih bagus hasel gitu enk jangler hbat,zutzujin kasih bagus hasel gitu enk jangler hbat,0,safe,non-cyberbullying,,0,0.5300732217573222
535,@marksman7765,"Ini mah onic lagi yg juara,😂",ini mah onic lagi yg juara,ini mah onic lagi yang juara,mah onic yang juara,mah onic yang juara,0,safe,non-cyberbullying,,0,0.5300732217573222
536,@SalwasastiviaKhaira,ONIC KING WS🎉❤,onic king ws,onic king ws,onic king ws,onic king ws,0,safe,non-cyberbullying,,0,0.5300732217573222
537,@Eunoiacora,"Ganti tittle dong jangan raja dari segala raja, udah ga pantes",ganti tittle dong jangan raja dari segala raja udah ga pantes,nanti tittle dong jangan raja dari segala raja sudah tidak pantes,tittle dong jangan raja segala raja tidak pantes,tittle dong jangan raja segala raja tidak pantes,0,safe,non-cyberbullying,,0,0.5300732217573222
538,@Alfiyahnur47,5:47 play off,play off,play off,play off,play off,0,safe,non-cyberbullying,,0,0.5300732217573222
539,@Diipiiyaa,perubahan anjai ererqi,perubahan anjai ererqi,perubahan anjai ererqi,perubahan anjai ererqi,ubah anja ererqi,0,safe,non-cyberbullying,,0,0.5300732217573222
540,@nanaimuppah,ppq ayam😂,ppq ayam,ppq ayam,ppq ayam,ppq ayam,0,safe,non-cyberbullying,,0,0.5300732217573222
541,@derryanggaraputra4438,Jungler roamnya makin blunder haha😅,jungler roamnya makin blunder haha,jungler roamnya makin blunder haha,jungler roamnya makin blunder haha,jungler roamnya makin blunder haha,0,safe,non-cyberbullying,,0,0.5300732217573222
542,@AdeeFirman-d8k1x,haduh RRQ RRQ,haduh rrq rrq,haduh rrq rrq,haduh rrq rrq,haduh rrq rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
543,@RyanYoga911,😜👆,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
544,@derryanggaraputra4438,Idok ngapain woi nafsu,idok ngapain woi nafsu,idok ngapain woi nafsu,idok ngapain woi nafsu,idok ngapain woi nafsu,0,safe,non-cyberbullying,,0,0.5300732217573222
545,@rryanmdr2428,gilakk sanz,gilakk sanz,gilakk sanz,gilakk sanz,gilakk sanz,0,safe,non-cyberbullying,,0,0.5300732217573222
546,@BoykaRr,Udh tau udh kalah masih aja main lagi gg gg RRQ,udh tau udh kalah masih aja main lagi gg gg rrq,sudah tahu sudah kalau kasih saja main lagi gg gg rrq,tahu kalau kasih main gg gg rrq,tahu kalau kasih main gg gg rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
547,@Dr.AI-fh4io,"𝐃𝐎𝐑𝐀𝟕𝟕, cuan terus!",cuan terus,cuan terus,cuan terus,cuan terus,0,safe,non-cyberbullying,,0,0.5300732217573222
548,@M.R-ACEGAMING,Jepe abis di 𝐃𝐎𝐑𝐀𝟕𝟕,jepe abis di,jepe abis di,jepe abis,jepe abis,0,safe,non-cyberbullying,,0,0.5300732217573222
549,@LoneZeeshan-s2p,"𝐃𝐎𝐑𝐀𝟕𝟕, auto win terus!",auto win terus,auto win terus,auto win terus,auto win terus,0,safe,non-cyberbullying,,0,0.5300732217573222
550,@Kanu.BhiiValvii,"𝐃𝐎𝐑𝐀𝟕𝟕 emang ga boong, menang terus!",emang ga boong menang terus,memang tidak boong memang terus,memang boong memang terus,memang boong memang terus,0,safe,non-cyberbullying,,0,0.5300732217573222
551,@Punjabisong-y4f,Cuan ga pernah abis di 𝐃𝐎𝐑𝐀𝟕𝟕,cuan ga pernah abis di,cuan tidak pernah abis di,cuan pernah abis,cuan pernah abis,0,safe,non-cyberbullying,,0,0.5300732217573222
552,@KrishnaKumar-p8v1j,"𝐃𝐎𝐑𝐀𝟕𝟕 the best, menang terus!",the best menang terus,the best memang terus,the best memang terus,the best memang terus,0,safe,non-cyberbullying,,0,0.5300732217573222
553,@TusharMishra-u7h,Pecah banget di 𝐃𝐎𝐑𝐀𝟕𝟕,pecah banget di,pecah banget di,pecah banget,pecah banget,0,safe,non-cyberbullying,,0,0.5300732217573222
554,@DevashishKumar-r2s,"𝐃𝐎𝐑𝐀𝟕𝟕, jepe mulu!",jepe mulu,jepe mulu,jepe mulu,jepe mulu,0,safe,non-cyberbullying,,0,0.5300732217573222
555,@IvanderAlvarendra,Huzle ngapain dipinjemkan ke malay,huzle ngapain dipinjemkan ke malay,huzle ngapain dipinjemkan ke malay,huzle ngapain dipinjemkan malay,huzle ngapain dipinjemkan malay,0,safe,non-cyberbullying,,0,0.5300732217573222
556,@IvanderAlvarendra,Huzle ngapain dipinjemkan ke malay,huzle ngapain dipinjemkan ke malay,huzle ngapain dipinjemkan ke malay,huzle ngapain dipinjemkan malay,huzle ngapain dipinjemkan malay,0,safe,non-cyberbullying,,0,0.5300732217573222
557,@IvanderAlvarendra,Masih mendingan huzle ga sih,masih mendingan huzle ga sih,kasih mendingan huzle tidak sih,kasih mendingan huzle sih,kasih mending huzle sih,0,safe,non-cyberbullying,,0,0.5300732217573222
558,@absl_comedy,Cuan lancar di 𝐃𝐎𝐑𝐀𝟕𝟕,cuan lancar di,cuan lancar di,cuan lancar,cuan lancar,0,safe,non-cyberbullying,,0,0.5300732217573222
559,@joydas5190,Jepe ga berhenti di 𝐃𝐎𝐑𝐀𝟕𝟕,jepe ga berhenti di,jepe tidak berhenti di,jepe berhenti,jepe henti,0,safe,non-cyberbullying,,0,0.5300732217573222
560,@abhijeetSingh-fg9mx,"Depo dikit, jadi kaya di 𝐃𝐎𝐑𝐀𝟕𝟕",depo dikit jadi kaya di,depo dikit jadi kaya di,depo dikit jadi kaya,depo dikit jadi kaya,0,safe,non-cyberbullying,,0,0.5300732217573222
561,@JaswinderKaur-l7q,"Jepe langsung, main di 𝐃𝐎𝐑𝐀𝟕𝟕",jepe langsung main di,jepe langsung main di,jepe langsung main,jepe langsung main,0,safe,non-cyberbullying,,0,0.5300732217573222
562,@Khan_gamerff,Cuan lancar di 𝐃𝐎𝐑𝐀𝟕𝟕,cuan lancar di,cuan lancar di,cuan lancar,cuan lancar,0,safe,non-cyberbullying,,0,0.5300732217573222
563,@theclips10912,"Kalah di game lain, menang terus di 𝐃𝐎𝐑𝐀𝟕𝟕",kalah di game lain menang terus di,kalau di game lain memang terus di,kalau game memang terus,kalau game memang terus,0,safe,non-cyberbullying,,0,0.5300732217573222
564,@SharmanGuleria,"𝐃𝐎𝐑𝐀𝟕𝟕, jackpot tiap hari",jackpot tiap hari,jackpot tiap hari,jackpot tiap hari,jackpot tiap hari,0,safe,non-cyberbullying,,0,0.5300732217573222
565,@Ryhnrmdn10,Komentator kebanyakan prediksi jadi ga asik,komentator kebanyakan prediksi jadi ga asik,komentator kebanyakan prediksi jadi tidak asik,komentator kebanyakan prediksi jadi asik,komentator banyak prediksi jadi asik,0,safe,non-cyberbullying,,0,0.5300732217573222
566,@highfps9362,ayo dong mpl id global ban diterapin biar ga bosen nonton heronya itu itu mulu,ayo dong mpl id global ban diterapin biar ga bosen nonton heronya itu itu mulu,ayo dong mpl id global ban diterapin biar tidak bosen nonton heronya itu itu mulu,ayo dong mpl id global ban diterapin biar bosen nonton heronya itu mulu,ayo dong mpl id global ban diterapin biar bosen nonton hero itu mulu,0,safe,non-cyberbullying,,0,0.5300732217573222
567,@DindaFerliana,RRQ Kaya Ayam SD Yang Warna-Warni🎉🎉🎉,rrq kaya ayam sd yang warnawarni,rrq kaya ayam sd yang warnawarni,rrq kaya ayam sd warnawarni,rrq kaya ayam sd warnawarni,0,safe,non-cyberbullying,,0,0.5300732217573222
568,@dimasmaulana5249,10:18 king zunesh 😂,king zunesh,king zunesh,king zunesh,king zunesh,0,safe,non-cyberbullying,,0,0.5300732217573222
569,@DapiDragneel,Zuness POKE,zuness poke,zuness poke,zuness poke,zuness poke,3,moderate_toxic,non-cyberbullying,poke(gaming:3),0,0.5300732217573222
570,@Arugam_,GENDENGGGG SANZZZZZ,gendengggg sanzzzzz,gendengggg sanzzzzz,gendengggg sanzzzzz,gendengggg sanzzzzz,0,safe,non-cyberbullying,,0,0.5300732217573222
571,@akusiapa2742,PPQ mode karantina 3 kata lucu😜👆,ppq mode karantina kata lucu,ppq mode karantina kata lucu,ppq mode karantina kata lucu,ppq mode karantina kata lucu,0,safe,non-cyberbullying,,0,0.5300732217573222
572,@PutraCuakss-q2p,toy si tombak sumatra,toy si tombak sumatra,toy si tombak sumatra,toy si tombak sumatra,toy si tombak sumatra,0,safe,non-cyberbullying,,0,0.5300732217573222
573,@PutraCuakss-q2p,"zunesh kalo kata gw mah main ayam aja kalo ga main abu, kocak",zunesh kalo kata gw mah main ayam aja kalo ga main abu kocak,zunesh kalau kata saya mah main ayam saja kalau tidak main abu kocak,zunesh kalau kata mah main ayam kalau main abu kocak,zunesh kalau kata mah main ayam kalau main abu kocak,0,safe,non-cyberbullying,,0,0.5300732217573222
574,@Jakiyah-k8g,Terbuktikan raja gold lane sesungguhnya siapa? Bang LERR licin kaya lance harithnya good luck ONIC🎉,terbuktikan raja gold lane sesungguhnya siapa bang lerr licin kaya lance harithnya good luck onic,terbuktikan raja gold lane sesungguhnya siapa bang lerr licin kaya lance harithnya good luck onic,terbuktikan raja gold lane sesungguhnya siapa bang lerr licin kaya lance harithnya good luck onic,bukti raja gold lane sungguh siapa bang lerr licin kaya lance harithnya good luck onic,0,safe,non-cyberbullying,,0,0.5300732217573222
575,@Cerpen_arellia,Gila sanz 😂,gila sanz,gila sanz,gila sanz,gila sanz,0,safe,non-cyberbullying,,0,0.5300732217573222
576,@BoyBoboiboy-u5c1y,Di tutorin pharsa sama sanz😂😊,di tutorin pharsa sama sanz,di tutorin pharsa sama sanz,tutorin pharsa sama sanz,tutorin pharsa sama sanz,0,safe,non-cyberbullying,,0,0.5300732217573222
577,@AgusKurniawan-mw6wm,Tombak taek,tombak taek,tombak taek,tombak taek,tombak taek,0,safe,non-cyberbullying,,0,0.5300732217573222
578,@YfcmobileMobile-tk4hp,Rrq lawak,rrq lawak,rrq lawak,rrq lawak,rrq lawak,0,safe,non-cyberbullying,,0,0.5300732217573222
579,@andrewsa3217,ppq ketarketir,ppq ketarketir,ppq ketarketir,ppq ketarketir,ppq ketarketir,0,safe,non-cyberbullying,,0,0.5300732217573222
580,@KamalKamu-c4v,Mid nya jirr harusnya tadi vexana,mid nya jirr harusnya tadi vexana,mid ya jirr harusnya tadi vexana,mid jirr harusnya tadi vexana,mid jirr harus tadi vexana,0,safe,non-cyberbullying,,0,0.5300732217573222
581,@eunh2522,😜👆,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
582,@muhammadnaufal6454,rrq hopeless,rrq hopeless,rrq hopeless,rrq hopeless,rrq hopeless,0,safe,non-cyberbullying,,0,0.5300732217573222
583,@AhmadDayuSetiawan,turunin lgi aja itu zuresn,turunin lgi aja itu zuresn,turunin lagi saja itu zuresn,turunin saja zuresn,turunin saja zuresn,0,safe,non-cyberbullying,,0,0.5300732217573222
584,@ewinghalimawan7534,royal derbi kek lawan medioker wkwk,royal derbi kek lawan medioker wkwk,royal derbi seperti lawan medioker wkwk,royal derbi lawan medioker wkwk,royal derbi lawan medioker wkwk,0,safe,non-cyberbullying,,0,0.5300732217573222
585,@Yhvjsnvfnsn,09:11 kek publik main rank asal buka ulti😅,kek publik main rank asal buka ulti,seperti publik main rank asal bukan ulti,publik main rank asal bukan ulti,publik main rank asal bukan ulti,0,safe,non-cyberbullying,,0,0.5300732217573222
586,@musaallo4773,"Rins 2x mati di base, gokil onic😂",rins x mati di base gokil onic,rins x mati di base gokil onic,rins x mati base gokil onic,rins x mati base gokil onic,5,moderate_toxic,cyberbullying,mati(extreme:5),1,8.81304347826087
587,@rikiriki-j3n,"Sdar ga si toyy bela""in pake emblem master asasin buat Skylar lawak",sdar ga si toyy belain pake emblem master asasin buat skylar lawak,sdar tidak si toyy belain pakai emblem master asasin buat skylar lawak,sdar si toyy belain pakai emblem master asasin buat skylar lawak,sdar si toyy bain pakai emblem master asasin buat skylar lawak,0,safe,non-cyberbullying,,0,0.5300732217573222
588,@RSLN09,Kairi puas bgt bantai bantai ppq 😂😂,kairi puas bgt bantai bantai ppq,kairi puas banget bantai bantai ppq,kairi puas banget bantai bantai ppq,kairi puas banget bantai bantai ppq,0,safe,non-cyberbullying,,0,0.5300732217573222
589,@fiboMboy,😜👆,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
590,@sahrulawldnsahrul4033,jungler mental tempe rrq,jungler mental tempe rrq,jungler mental tempe rrq,jungler mental tempe rrq,jungler mental tempe rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
591,@RikoUlak,Ngapain SC Sutzujin d ganti....,ngapain sc sutzujin d ganti,ngapain sc sutzujin d nanti,ngapain sc sutzujin d,ngapain sc sutzujin d,0,safe,non-cyberbullying,,0,0.5300732217573222
592,@DioTzy.,Onic iD 2 vs Rrq 0👆😜🤏Mvp-Sanz Coach Adi Coach Cw,onic id vs rrq mvpsanz coach adi coach cw,onic id vs rrq mvpsanz coach jadi coach cw,onic id vs rrq mvpsanz coach jadi coach cw,onic id vs rrq mvpsanz coach jadi coach cw,0,safe,non-cyberbullying,,0,0.5300732217573222
593,@gikey2830,PA AP out PAk Ap out  kingdom ganti nama jd kongdom,pa ap out pak ap out kingdom ganti nama jd kongdom,pa ap out pak ap out kingdom nanti nama jadi kongdom,pa ap out pak ap out kingdom nama jadi kongdom,pa ap out pak ap out kingdom nama jadi kongdom,0,safe,non-cyberbullying,,0,0.5300732217573222
594,@RamenkakekJepang,"8:48 personal banget😂 eh malah meninggoy,beda kelas emang😂😂",personal banget eh malah meninggoybeda kelas emang,personal banget eh malah meninggoybeda kelas memang,personal banget eh malah meninggoybeda kelas memang,personal banget eh malah meninggoybeda kelas memang,0,safe,non-cyberbullying,,0,0.5300732217573222
595,@IrfanApri-x3i,Bklan d bntai abis d playoff..,bklan d bntai abis d playoff,bukan d bntai abis d playoff,bukan d bntai abis d playoff,bukan d bntai abis d playoff,0,safe,non-cyberbullying,,0,0.5300732217573222
596,@hendryr3157,Jungler ganti sutsujin aja,jungler ganti sutsujin aja,jungler nanti sutsujin saja,jungler sutsujin,jungler sutsujin,0,safe,non-cyberbullying,,0,0.5300732217573222
597,@bocilbangakutakut,😝👆🏻,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
598,@CEO_911,Jual imo beli sayap buat terbang,jual imo beli sayap buat terbang,jual imo beli saya buat terbang,jual imo beli buat terbang,jual imo beli buat terbang,0,safe,non-cyberbullying,,0,0.5300732217573222
599,@thearthchannel,Dyreen OUT. Gak Guna lagi,dyreen out gak guna lagi,dyreen out tidak guna lagi,dyreen out guna,dyreen out guna,0,safe,non-cyberbullying,,0,0.5300732217573222
600,@chandrapratama4679,Raja segala raja badut maksudnya😂,raja segala raja badut maksudnya,raja segala raja badut maksudnya,raja segala raja badut maksudnya,raja segala raja badut maksud,0,safe,non-cyberbullying,,0,0.5300732217573222
601,@mutiarafahri-c5n,Sang raja taek rrq rrq,sang raja taek rrq rrq,sang raja taek rrq rrq,sang raja taek rrq rrq,sang raja taek rrq rrq,0,safe,non-cyberbullying,,0,0.5300732217573222
602,@DhiDhoyz,"Setingan basah nih kayanya rq,, 
Basah keringat di ayamin terus,, 😢
Paraaaah genti jungler",setingan basah nih kayanya rq basah keringat di ayamin terus paraaaah genti jungler,setingan basah nih kayanya rq basah keringat di ayamin terus paraaaah genti jungler,setingan basah nih kayanya rq basah keringat ayamin terus paraaaah genti jungler,ting basah nih kaya rq basah keringat ayamin terus paraaaah genti jungler,0,safe,non-cyberbullying,,0,0.5300732217573222
603,@GitoWongsen,Aura comeback koccak🤣,aura comeback koccak,aura comeback koccak,aura comeback koccak,aura comeback koccak,0,safe,non-cyberbullying,,0,0.5300732217573222
604,@gerhanmv4658,😜👆2-0 BOSS!,boss,boss,boss,boss,0,safe,non-cyberbullying,,0,0.5300732217573222
605,@fahmiaziz1892,Rinz jelek kali mainnya pp,rinz jelek kali mainnya pp,rinz jelek kali mainnya pp,rinz jelek kali mainnya pp,rinz jelek kali main pp,4,moderate_toxic,cyberbullying,jelek(personal:4),1,8.81304347826087
606,@AldiFadilla-h3v,"mage rrq tololl , kebanyakan bacot timing ultinya ga di pake",mage rrq tololl kebanyakan bacot timing ultinya ga di pake,mage rrq tololl kebanyakan bacot timing ultinya tidak di pakai,mage rrq tololl kebanyakan bacot timing ultinya di pakai,mage rrq tololl banyak bacot timing ultinya di pakai,2,minor_negative,non-cyberbullying,bacot(negative:2),0,0.5300732217573222
607,@34guhhprayitno,"performa dyren kayak beda dri season kemarin, apakah gara² YTTA ajee",performa dyren kayak beda dri season kemarin apakah gara ytta ajee,performa dyren seperti beda dari season kemarin apakah gara ytta ajee,performa dyren beda season kemarin gara ytta ajee,performa dyren beda season kemarin gara ytta ajee,0,safe,non-cyberbullying,,0,0.5300732217573222
608,@DemriskaNaibaho,Lutpi dan skylar nge sarkas😂😂,lutpi dan skylar nge sarkas,lutpi dan skylar nge sarkas,lutpi skylar nge sarkas,lutpi skylar nge sarkas,0,safe,non-cyberbullying,,0,0.5300732217573222
609,@GoingMery,Skylar itu pemain berharga apalagi kalau di tempa/di gabung sama pemain lama/jago kaya Kairi & Sanz bisa sama-sama kuat & memperkuat kemampuan tinggal persaingan sehat aja di dalam team Onic siapa yang jago dyalah yang berhak bertahan tapi kalau jago kemudian masuk team jelek/yang bisa merusak kemampuan lebih baik mundur dari team karena sayang kemampuannya bisa hilang kaya Lemon yg di gantikan Clay dulu padahal dulu bukan salah lemon tapi salah teamnya yg belum berkembang & belum ada chemistry tapi justru Lemon ga main malah si Clay hahaha,skylar itu pemain berharga apalagi kalau di tempadi gabung sama pemain lamajago kaya kairi sanz bisa samasama kuat memperkuat kemampuan tinggal persaingan sehat aja di dalam team onic siapa yang jago dyalah yang berhak bertahan tapi kalau jago kemudian masuk team jelekyang bisa merusak kemampuan lebih baik mundur dari team karena sayang kemampuannya bisa hilang kaya lemon yg di gantikan clay dulu padahal dulu bukan salah lemon tapi salah teamnya yg belum berkembang belum ada chemistry tapi justru lemon ga main malah si clay hahaha,skylar itu pemain berharga apalagi kalau di tempadi gabung sama pemain lamajago kaya kairi sanz bisa samasama kuat memperkuat kemampuan tinggal persaingan sehat saja di dalam team onic siapa yang jago dyalah yang berhak bertahan tapi kalau jago kemudian masuk team jelekyang bisa merusak kemampuan lebih baik mundur dari team karena saya kemampuannya bisa hilang kaya lemon yang di gantikan clay dulu padahal dulu bukan salah lemon tapi salah teamnya yang belum berkembang belum ada chemistry tapi justru lemon tidak main malah si clay hahaha,skylar pemain berharga kalau tempadi gabung sama pemain lamajago kaya kairi sanz samasama kuat memperkuat kemampuan tinggal persaingan sehat di team onic siapa jago dyalah berhak bertahan kalau jago kemudian masuk team jelekyang merusak kemampuan lebih baik mundur team saya kemampuannya hilang kaya lemon di gantikan clay dulu padahal dulu bukan salah lemon salah teamnya berkembang belum ada chemistry justru lemon main malah si clay hahaha,skylar main harga kalau tempadi gabung sama main lamajago kaya kairi sanz samasama kuat kuat mampu tinggal saing sehat di team onic siapa jago dyalah hak tahan kalau jago kemudian masuk team jelekyang rusak mampu lebih baik mundur team saya mampu hilang kaya lemon di ganti clay dulu padahal dulu bukan salah lemon salah teamnya kembang belum ada chemistry justru lemon main malah si clay hahaha,0,safe,non-cyberbullying,,0,0.5300732217573222
610,@azisfirjiansyah6150,"sanz sangat personal didepan rinz, awokawok",sanz sangat personal didepan rinz awokawok,sanz sangat personal didepan rinz awokawok,sanz sangat personal didepan rinz awokawok,sanz sangat personal depan rinz awokawok,0,safe,non-cyberbullying,,0,0.5300732217573222
611,@entahlabro69,☝🏻😜,,,,,0,safe,non-cyberbullying,,0,0.5300732217573222
612,@SuanDani,"Nice ler ,mana yang bacotin toy lebih jago daripada skayler wkwkw cuma Hiro dordor doang",nice ler mana yang bacotin toy lebih jago daripada skayler wkwkw cuma hiro dordor doang,nice ler mana yang bacotin toy lebih jago daripada skayler wkwkw cuma hiro dordor orang,nice ler mana bacotin toy lebih jago skayler wkwkw cuma hiro dordor orang,nice ler mana bacotin toy lebih jago skayler wkwkw cuma hiro dordor orang,0,safe,non-cyberbullying,,0,0.5300732217573222
