id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying
223,"Raja dari segala raja , Ehh raja Habis jabatan",raja segala raja ehh raja habis jabat,0,safe,non-cyberbullying,0
224,ayam😂,ayam,0,safe,non-cyberbullying,0
225,Cuma tuturu yang bisa ngimbangi Skylar,cuma tuturu bisa ngimbangi skylar,0,safe,non-cyberbullying,0
226,Cukup nonton 1 game.. kalo yg menang ONIC ya jelas next game 2.0 wkwkw,cukup nonton game kalau memang onic jelas next game wkwkw,0,safe,non-cyberbullying,0
227,onic vs bocil2 rnked,onic vs bocil rnked,0,safe,non-cyberbullying,0
228,Penerus buts emang gak ada lawan🤫,terus buts memang ada lawan,0,safe,non-cyberbullying,0
229,Mana spicy boy mana miracle boy this is kiboy,mana spicy boy mana miracle boy this is kiboy,0,safe,non-cyberbullying,0
230,Kasih aja pialanya ke onic😂,kasih piala onic,0,safe,non-cyberbullying,0
231,Rinz si paling jago,rinz si paling jago,0,safe,non-cyberbullying,0
232,Derbi? Kocak ppq,derbi kocak ppq,0,safe,non-cyberbullying,0
233,Lupa diedit jir,lupa edit jir,0,safe,non-cyberbullying,0
234,rrq ngemainin jungle publik😂,rrq ngemainin jungle publik,0,safe,non-cyberbullying,0
235,"yaela casternya memihak banget. yg lgi unggul siapa, yg diomongin siapa wkwkwkk",yaela casternya pihak banget lagi unggul siapa diomongin siapa wkwkwkk,0,safe,non-cyberbullying,0
236,"Udah jangan main raja2an, org kalah terus main raja2an",jangan main raja orang kalau terus main raja,0,safe,non-cyberbullying,0
237,Gak guna sekali uranus sma grok knp dipake,guna sekali uranus sama grok knp dipake,0,safe,non-cyberbullying,0
238,Ini yg di tunggu²,yang tunggu,0,safe,non-cyberbullying,0
239,"Ketika mantan tulang punggung rrq membuktikan kualitasnya kepada tulang ayam rrq 😂😂 ..
Recall² Ter gg dari sanz d dlm high ground rrq ❤❤",mantan tulang punggung rrq bukti kualitas tulang ayam rrq recall ter gg sanz d dlm high ground rrq,0,safe,non-cyberbullying,0
240,Kok g main di stage kenapa ya?,kok g main stage ya,0,safe,non-cyberbullying,0
241,"Baru Naik mythic ,langsung nonton ini ,Senang rasanya😊😀💪",baru naik mythic langsung nonton senang rasa,0,safe,non-cyberbullying,0
242,Cukup tau skylark kece gitu gak heboh ke skylark miminnya,cukup tahu skylark kece gitu heboh skylark miminnya,0,safe,non-cyberbullying,0
243,9:20 POSISI APAANTUH EL F UPSSSS,posisi apaantuh el f upssss,0,safe,non-cyberbullying,0
244,casternya terlalu condong ke rrq,casternya terlalu condong rrq,0,safe,non-cyberbullying,0
245,hahahaha ppq ppq,hahahaha ppq ppq,0,safe,non-cyberbullying,0
246,Mampus ppq dongo gedein bacot doang,mampus ppq dongo gedein bacot orang,7,severe_toxic,cyberbullying,1
247,siapakah tulang punggung rrq sekarang ? wkwkw,siapa tulang punggung rrq sekarang wkwkw,0,safe,non-cyberbullying,0
248,Lutpi sama idok fliker tembok,lutpi sama idok fliker tembok,0,safe,non-cyberbullying,0
249,Raja badut vs raja sungguhan 😂😂,raja badut vs raja sungguh,0,safe,non-cyberbullying,0
250,"Bola ada CR7
MPL ada SKYLAR 
Dulu dukung RRQ sekarang dukung ONIC",bola cr mpl skylar dulu dukung rrq sekarang dukung onic,0,safe,non-cyberbullying,0
251,"Luthpi tidak terlalu banyak bacot.

Tapi skill di atas semua exp indo.",luthpi terlalu banyak bacot skill atas semua exp indo,2,minor_negative,non-cyberbullying,0
252,Membuang emas demi besi 😂😂😂😂😂 RRQ menangiss,memang emas besi rrq menangiss,0,safe,non-cyberbullying,0
253,Gg,gg,0,safe,non-cyberbullying,0
254,Main fanny gitu doang mah temen gue juga bisa,main fanny gitu orang mah temen juga,0,safe,non-cyberbullying,0
255,Kenapa ga main di stage?,tidak main stage,0,safe,non-cyberbullying,0
256,"Kalian nyadar gak sih? Itu draft nya onic sama kaya draftnya RRQ pas Waktu RRQ
 VS TLID S14 Di Game 1",kalian nyadar sih draft onic sama kaya draftnya rrq pas waktu rrq vs tlid s game,0,safe,non-cyberbullying,0
257,BEDA KELAS BUNG.,beda kelas bung,0,safe,non-cyberbullying,0
258,Ganti mid anjirr sumpah RRQ😂,mid anjirr sumpah rrq,0,safe,non-cyberbullying,0
259,ga nyangka lutpi bisa sejago ini skarang 🫡🫡,nyangka lutpi jago sekarang,0,safe,non-cyberbullying,0
260,🫰🫰,,0,safe,non-cyberbullying,0
261,Ngapain mainin zunes,ngapain mainin zunes,0,safe,non-cyberbullying,0
262,pliss idok suruh maen titit aj kalo maen roam msh ragu wkw,pliss idok suruh maen titit kalau maen roam msh ragu wkw,0,safe,non-cyberbullying,0
263,Kasih piala nya ke ONIC Sekarang juga!!! Mpl indo terlalu mudah bagi onic,kasih piala ke onic sekarang mpl indo terlalu bagi onic,0,safe,non-cyberbullying,0
264,Sok Fany zunesh,sok fany zunesh,0,safe,non-cyberbullying,0
265,Klaz skylar,klaz skylar,0,safe,non-cyberbullying,0
266,"GUA KASIH TAU BUAT KALIAN KINGDOM
CEO KALIAN PAK AP ITU UDAH GAK FOKUS MEMBANGUN RRQ JADI TIM ESPORT BERPRESTASI LAGI
BELIAU HANYA FOKUS MARKETING DOANG SEKARANG SAMA TUH TIM",kasih tahu buat kalian kingdom ceo kalian pak ap sudah fokus bangun rrq jadi tim esport prestasi beliau fokus marketing orang sekarang sama tuh tim,0,safe,non-cyberbullying,0
267,Bang leerr,bang leerr,0,safe,non-cyberbullying,0
268,"toy cb bsa granger bjir, jangan d ksi hero lain",toy cb granger bjir jangan d ksi hero,0,safe,non-cyberbullying,0
269,Bang lerrrr,bang lerrrr,0,safe,non-cyberbullying,0
270,di game ini fannynya zunesh ngeri bgt brok🔥🔥,game fannynya zunesh ngeri banget brok,0,safe,non-cyberbullying,0
271,kingdom amaan?,kingdom ama,0,safe,non-cyberbullying,0
272,Mantap lutpi😅,mantap lutpi,0,safe,non-cyberbullying,0
273,Kenapa ujin gak di mainin ya,ujin di mainin,0,safe,non-cyberbullying,0
274,Rrq udah makin keliatan jadi badut nya haha (ketawa ngakak),rrq makin liat jadi badut haha ketawa ngakak,0,safe,non-cyberbullying,0
275,Rinz bacot doang hahaha😂,rinz bacot orang hahaha,2,minor_negative,non-cyberbullying,0
276,"""mereka ga jago, tapi kita dibantai 2-0""🗿",tidak jago kita bantai,0,safe,non-cyberbullying,0
277,Kok mainnya ga di stage?,kok main di stage,0,safe,non-cyberbullying,0
278,"Asli liat match ini RRQ bot kli, jangan di bandingin ga bs di bandingin",asli liat match rrq bot kli jangan bandingin bisa bandingin,0,safe,non-cyberbullying,0
279,Blm sebanding buat rrq kalo lawam onic,banding buat rrq kalau lawam onic,0,safe,non-cyberbullying,0
280,Yang di salahin DYREN ini 😂,di salahin dyren,0,safe,non-cyberbullying,0
281,Jangan remehkan king lutfi,jangan remeh king lutfi,0,safe,non-cyberbullying,0
282,"Mati di base spawn,mm brawl,fanny inspire😂",mati base spawnmm brawlfanny inspire,5,moderate_toxic,cyberbullying,1
283,Kaya gitu disebut raja?😂😂😂,kaya gitu sebut raja,0,safe,non-cyberbullying,0
284,Mana sutsujin Mlah zunesh,mana sutsujin mlah zunesh,0,safe,non-cyberbullying,0
285,Gg lutpi,gg lutpi,0,safe,non-cyberbullying,0
286,Lah bukannya rrq gak di bolehin makai recal yg ono yak😅😅,lah bukan rrq di bolehin pakai recal ono,0,safe,non-cyberbullying,0
287,17:17 dikira masuk rumput rinz padahal keliatan wkwk untung GK mati konyol auto dihujat 🤣,kira masuk rumput rinz padahal liat wkwk untung mati kontol auto hujat,10,extreme_cyberbullying,cyberbullying,1
288,"Setiap season pasti ganti roster 
Kapan rrq juara 
Apa cuman bahan lelucon di sosmed",season nanti roster kapan rrq juara apa cuma bahan lelucon sosmed,0,safe,non-cyberbullying,0
289,7:46 ngeri lutpi,ngeri lutpi,0,safe,non-cyberbullying,0
290,Mantap bang lerrr 😂🎉,mantap bang lerrr,0,safe,non-cyberbullying,0
291,😜👆😜👆😜👆😜👆,,0,safe,non-cyberbullying,0
292,"Bng ler d samain sama adek²(toy)bedalah antara langit dan tanah kocak²
Buat bng ler🔥",bng ler d sama adektoybedalah langit tanah kocak buat bng ler,0,safe,non-cyberbullying,0
293,Bener pake rezz,benar pakai rezz,0,safe,non-cyberbullying,0
294,"thanks buat kreatif MPL udah turutin komen gua tntg ubah tampilan room nya, gak merah putih terus. jadi beda dgn season² sebelumnya.",thanks buat kreatif mpl turutin komen tntg ubah tampil room tidak merah putih terus jadi beda season belum,0,safe,non-cyberbullying,0
295,"Yg penting cuan kata AP CEO , mang peduli piala, jadiin pemain mdl terus jadi mpl, terus jual,",penting cuan kata ap ceo mang peduli piala jadi main mdl terus jadi mpl terus jual,0,safe,non-cyberbullying,0
296,Calon Juara Dunia,calon juara dunia,0,safe,non-cyberbullying,0
297,Zunesh retry indomaret,zunesh retry indomaret,0,safe,non-cyberbullying,0
298,"Ini yg namanya game seru bukan hyper tank mulu! 
Udah hyper tank objektif tartel retri alfamart lagi wkwkwk",yang nama game seru bukan hyper tank mulu hyper tank objektif tartel retri alfamart wkwkwk,0,safe,non-cyberbullying,0
299,😂 tutor 2 match 2 kali rinz di bunuh dalam base,tutor match kali rinz bunuh base,5,moderate_toxic,cyberbullying,1
300,RRQ mkin hari mkin tolol....mata duitan...,rrq mkin hari mkin tololmata duit,0,safe,non-cyberbullying,0
301,Jual RINZ beli ABOY,jual rinz beli aboy,0,safe,non-cyberbullying,0
302,😆👆,,0,safe,non-cyberbullying,0
303,Lutpi momentumnya ngeriiii,lutpi momentum ngeriiii,0,safe,non-cyberbullying,0
304,onic awakk🎉,onic awakk,0,safe,non-cyberbullying,0
305,Yang menang onic yang di bahas selalu rrq kocak,memang onic di bahas selalu rrq kocak,0,safe,non-cyberbullying,0
306,Liat rinz 😅😅😅😅 mainya buang buang ulti sama posisi nya ngawur mulu  duta BLUNDER KAH,liat rinz mai buang buang ulti sama posisi ngawur mulu duta blunder,0,safe,non-cyberbullying,0
307,hyper RRQ yg skrng hyper indomart,hyper rrq skrng hyper indomart,0,safe,non-cyberbullying,0
308,RRQ KALAH aduhhh aduhh 😢,rrq kalau aduhhh aduhh,0,safe,non-cyberbullying,0
309,sumpah hyper RRQ jauh lebih bagus sutsujin dari pada yg sekrng mah,sumpah hyper rrq jauh lebih bagus sutsujin pada sekarang mah,0,safe,non-cyberbullying,0
310,Anjay badut MpL,anjay badut mpl,1,minor_negative,non-cyberbullying,0
311,lutpi🤩🤩🤩,lutpi,0,safe,non-cyberbullying,0
312,nice,nice,0,safe,non-cyberbullying,0
313,pharsa mati di base pasti bakalan fyp 1 bulan😂😂😂😂,pharsa mati base bakal fyp bukan,5,moderate_toxic,cyberbullying,1
314,Wkwkwkwkw mid jago mati di base,wkwkwkwkw mid jago mati base,5,moderate_toxic,cyberbullying,1
315,"Terimakasih RINZ sudah ""menunjukan"" kalo Onic Id itu ""Gak jago"",  dan Terimakasig juga untuk RINZ sudah mau di Gayang di dalam Base RRQ. 
Akhir nya tetap tidur dengan Nyenyak,  soal nya kaum Hama ngeringkuk di dalam GOA!!  😂",terima kasih rinz tunjuk kalau onic id tidak jago terima kasih untuk rinz mau yang dalam base rrq akhir tetap tidur nyenyak soal kaum hama ngeringkuk dalam goa,0,safe,non-cyberbullying,0
316,Wkwkwkwkw Rinz Mana Suara Sombongnya ? Dan Rasain Tuh Milih Toy Yang Ada Memalukan Wkwkwk,wkwkwkwkw rinz mana suara sombong rasain tuh milih toy ada malu wkwkwk,0,safe,non-cyberbullying,0
317,"onic it udah terbiasa lawan tim2 kuat ph, udah g level ama tim indo",onic it biasa lawan tim kuat ph g level sama tim indo,0,safe,non-cyberbullying,0
318,"onic it udah terbiasa lawan tim2 kuat ph, udah g level ama tim indo",onic it biasa lawan tim kuat ph g level sama tim indo,0,safe,non-cyberbullying,0
319,dah gua bilang player sekosisten gini dicamatin 😂 Seneng banget gua kalau rrq kalaj,bilang player sekosisten gin dicamatin neng banget saya kalau rrq kalau,0,safe,non-cyberbullying,0
320,Ini kenapa ga offline di venue guys mainya?,kenapa offline venue guys mai,0,safe,non-cyberbullying,0
321,"Lebih salut ama lutpi yg dulu masih terbayang2 ama buts awal debut nya, yg sekarang improve nya gila sih salut buat lutpi 🔥🔥",lebih salut sama lutpi dulu kasih bayang sama buts awal debut yang sekarang improve gila sih salut buat lutpi,0,safe,non-cyberbullying,0
322,"RRQ kebanyakan Gonta ganti player ngak mau berproses setiap kalah ganti terus gmn mau menang, pusing liat RRQ ganti player tetap aja hasilnya minus.",rrq banyak gonta player ngak mau proses kalau terus bagaimana mau memang pusing liat rrq player tetap hasil minus,0,safe,non-cyberbullying,0
323,"Midlinernya suruh byk belajar lg, belajar sm lutpi noh. Cepet improve. Season ini hijume sm cyrus yg bs imbangin sanz",midlinernya suruh byk ajar ajar sm lutpi noh cepet improve season hijume sm cyrus bisa imbangin sanz,0,safe,non-cyberbullying,0
324,"Gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya bikin penasaran, kemenangannya bikin happy! ❤️",sabar share temen soal cerita bikin penasaran menang bikin happy,0,safe,non-cyberbullying,0
325,"Tolong ye untuk para caster lebih netral  dalam ngecast game jangan terlalu berat ke rrq terutama ranger emas lim komcul, untuk kb netral.. gua perhatiin baik² match ini lbh banyak ngomongin rrq nya drpd onicnya",ye para caster lebih netral ngecast game jangan terlalu berat rrq utama ranger emas lim komcul kb netral perhatiin baik match lbh banyak ngomongin rrq drpd onicnya,0,safe,non-cyberbullying,0
326,Rinz ngapain sih?,rinz ngapain sih,0,safe,non-cyberbullying,0
327,Rinz mati di base tuh? Wkwkwkwkwkwk,rinz mati base tuh wkwkwkwkwkwk,5,moderate_toxic,cyberbullying,1
328,Rinz BOTT,rinz bott,0,safe,non-cyberbullying,0
329,maen gold gapernah rotasi si toyy kek maen brawl tapi di agungkan bgt sama kingdom wkwkwkwk,maen gold gapernah rotasi si toyy maen brawl di agung banget sama kingdom wkwkwkwk,0,safe,non-cyberbullying,0
330,Bang Ler ❤,bang ler,0,safe,non-cyberbullying,0
331,Geloo lutpeeee 💯💯💯,geloo lutpeeee,0,safe,non-cyberbullying,0
332,ngapain si rrq😂😂,ngapain si rrq,0,safe,non-cyberbullying,0
333,Gok gok gok😂,gok gok gok,0,safe,non-cyberbullying,0
334,"RRQ SAHRONI, 
RRQ EKO
RRQ KUYA
Kenapa gak di mainin",rrq sahroni rrq eko rrq kuya tidak mainin,0,safe,non-cyberbullying,0
335,apaansi fani maennya kabur 😂😂,apaansi fani maennya kabur,0,safe,non-cyberbullying,0
336,Rrq mulu yg di sanjung dih casterr,rrq mulu di sanjung dih casterr,0,safe,non-cyberbullying,0
337,Mulai sisen ini gw pens onic,mulai sisen saya pens onic,0,safe,non-cyberbullying,0
338,lutpi gg,lutpi gg,0,safe,non-cyberbullying,0
339,7:03 ngapain siduren ini,ngapain siduren,0,safe,non-cyberbullying,0
340,maen ko ngepush rrq b o t 😂😂,maen ko ngepush rrq b o t,0,safe,non-cyberbullying,0
341,Dulu kingdom bilang toyy lebih jago dari Skylar tapi buktinya🗿,dulu kingdom bilang toyy lebih jago skylar bukti,0,safe,non-cyberbullying,0
342,Toy epik liat cara mainnya,toy epik liat cara main,0,safe,non-cyberbullying,0
343,"Dah tau Fanny indo hanyalah dongeng, eh malah pick Fanny 😂😂😂",tahu fanny indo hanya dongeng eh malah pick fanny,0,safe,non-cyberbullying,0
344,Gampang gini,gampang gin,0,safe,non-cyberbullying,0
345,Tu sutzujin kaga dimainin,tu sutzujin kaga dimainin,0,safe,non-cyberbullying,0
346,Fanny Farming Minions. 🗿,fanny farming minions,0,safe,non-cyberbullying,0
347,Ketemu mantan nih wkwk,ketemu mantan nih wkwk,0,safe,non-cyberbullying,0
348,"Lutpii udah layak di adu di panggung intern, ngeri",lutpii layak adu panggung intern ngeri,0,safe,non-cyberbullying,0
349,Raja jadi²an ingin lawan raja sesungguhnya = DIJADIKAN TAMAN BERMAIN SAMA ONIC... RINZ KOCAK 😂,raja jadi lawan raja sungguh jadi taman main sama onic rinz kocak,0,safe,non-cyberbullying,0
350,Enak ga dikasih paham 😜👆😜👆😜👆,enak kasih paham,0,safe,non-cyberbullying,0
351,Kocak rrq,kocak rrq,0,safe,non-cyberbullying,0
352,sekarang konsepnya kayak nongkrong di cafe gitu ya,sekarang konsep nongkrong cafe gitu,0,safe,non-cyberbullying,0
353,"Kok saya lihat RRQ sekarang agak aneh, engga sekompak dulu",kok lihat rrq sekarang aneh engga kompak dulu,0,safe,non-cyberbullying,0
354,Ngan hayoh weh “Terbuang dalam waktu” ALAY,hayoh weh buang waktu alay,0,safe,non-cyberbullying,0
355,Malu gk ppq,malu ppq,0,safe,non-cyberbullying,0
356,Haduh RRQ 😂😂😂😂,haduh rrq,0,safe,non-cyberbullying,0
357,gue gak mau ngata²in rrq tapi sangat disayangkan skaylar dilepas  keep strong aja buat rrq,tidak mau ngatain rrq sangat sayang skaylar lepas keep strong buat rrq,0,safe,non-cyberbullying,0
358,gue gak mau ngata²in rrq tapi sangat disayangkan skaylar dilepas  keep strong aja buat rrq,tidak mau ngatain rrq sangat sayang skaylar lepas keep strong buat rrq,0,safe,non-cyberbullying,0
359,"Ga dkung rrq sejak ada rinz , ... Kbnyakan omong jir , isinya gkada",dkung rrq sejak rinz kbnyakan omong jir isi gkada,0,safe,non-cyberbullying,0
360,mana yang kemaren² ngebanding bandingin Skylar sama toy kok ga ada apa²nya di hadapan Skylar 😂,mana kemaren ngebanding bandingin skylar sama toy kok ada apa hadap skylar,0,safe,non-cyberbullying,0
361,Geloookkk onick cvk,geloookkk onick cvk,0,safe,non-cyberbullying,0
362,Rinz mati di base 😂,rinz mati base,5,moderate_toxic,cyberbullying,1
363,Gw paham kenapa Skylar lebih milih ke onic drpd rrq 😂 roster rrq EMG ga jelas 😂,paham skylar lebih milih onic drpd rrq roster rrq memang jelas,0,safe,non-cyberbullying,0
364,Counter onic turunin rezz🤣,counter onic turunin rezz,0,safe,non-cyberbullying,0
365,Gelo lutfi,gelo lutfi,0,safe,non-cyberbullying,0
366,"Mana yang bilang tembak tembang Toyy Toyy
King skylar nihh",mana bilang tembak tembang toyy toyy king skylar nihh,0,safe,non-cyberbullying,0
367,Sudah lah jgn main raja rajaan lagii 😂😂😂,lah jangan main raja raja,0,safe,non-cyberbullying,0
368,lutpi gila sih gameplaynya... GG piii,lutpi gila sih gameplaynya gg piii,0,safe,non-cyberbullying,0
369,Kedua nya tim favorit gua keren onic best RRQ,dua tim favorit keren onic best rrq,0,safe,non-cyberbullying,0
370,Kasian rinz di ayam ayamin sanz,kasi rinz ayam ayamin sanz,0,safe,non-cyberbullying,0
371,FIXX INI MAH ONIC LAGI ONIC LAGI YANG JUARA. TUTUP AJA MPL. GMNA MAU KE KANCAH NASIONAL JUARANYA JUGA ITU ITU AJA,fixx mah onic onic yang juara tutup mpl gmna mau kancah nasional juara itu saja,0,safe,non-cyberbullying,0
372,STRESS LUTPII,stress lutpii,0,safe,non-cyberbullying,0
373,push mmr pharsa,push mmr pharsa,0,safe,non-cyberbullying,0
374,Lokal...!!,lokal,0,safe,non-cyberbullying,0
375,Lutpi improve bget sih❤,lutpi improve banget sih,0,safe,non-cyberbullying,0
376,loh mana kok gak ada fans ppq yg komen wkwkw,loh mana kok ada fans ppq komen wkwkw,0,safe,non-cyberbullying,0
377,Zunesh di ospek kairi hahhaa 😂,zunesh ospek kairi hahhaa,0,safe,non-cyberbullying,0
378,KASIAN KALAH RRQ🤡,kasi kalau rrq,0,safe,non-cyberbullying,0
379,3 kata lucu : toyy diatas skylar,kata lucu toyy atas skylar,0,safe,non-cyberbullying,0
380,2 tim makanan srg 😂,tim makan srg,0,safe,non-cyberbullying,0
381,Ternyata bener fanny di indonesia cuma dongeng,nyata benar fanny indonesia cuma dongeng,0,safe,non-cyberbullying,0
382,Mvp lutpi,mvp lutpi,0,safe,non-cyberbullying,0
383,ga berasa royal derby nya😂,asa royal derby,0,safe,non-cyberbullying,0
384,rinz mau di tutorin potitioning pharsa kah? 😂,rinz mau tutorin potitioning pharsa,0,safe,non-cyberbullying,0
385,Kami kingdom pamit😊😊,kingdom pamit,0,safe,non-cyberbullying,0
386,gokil lutpi,gokil lutpi,0,safe,non-cyberbullying,0
387,Alhamdulillah sang raja langit onic 🇮🇩🔥menang skor 2.0 pempek jdi badut Konoha 🤡 goonic 🇮🇩,alhamdulillah sang raja langit onic memang skor pempek jadi badut konoha goonic,0,safe,non-cyberbullying,0
388,"RINZ MIDLANER PALING JAGO, CATAT.",rinz midlaner paling jago catat,0,safe,non-cyberbullying,0
389,Wkwkw zunesh kocakk,wkwkw zunesh kocakk,0,safe,non-cyberbullying,0
390,Si rinz ini oon bngt aj9 gk bisa posisi,si rinz oon banget tidak posisi,0,safe,non-cyberbullying,0
391,Rraqontol out rinz,rraqontol out rinz,0,safe,non-cyberbullying,0
392,Skylar memang gak diragukan udh masak pengalaman👍,skylar memang ragu masak alam,0,safe,non-cyberbullying,0
393,Lutpi jago bangett woii wkwkw,lutpi jago banget woii wkwkw,0,safe,non-cyberbullying,0
394,Kalo gua jadi rinz malu sih dibunuh dalam base wkwkwkk efek kiboyy,kalau jadi rinz malu sih bunuh base wkwkwkk efek kiboyy,5,moderate_toxic,cyberbullying,1
395,MAMPOS KAU PPQ,mampos kamu ppq,0,safe,non-cyberbullying,0
396,"Hyper apaan ini buset,kaya bocah epic main nya,coach rrq gajelas sumpah,padahal roster kmrn ngga jelek jelek bngt malah diganti roster nya idiot",hyper apa busetkaya bocah epic main nyacoach rrq gajelas sumpahpadahal roster kmrn ngga jelek jelek banget malah ganti roster idiot,8,severe_toxic,cyberbullying,1
397,19:02 ahh lutpi moment🎉🎉🎉,ahh lutpi moment,0,safe,non-cyberbullying,0
398,Makan lah itu jual skylar,lah jual skylar,0,safe,non-cyberbullying,0
399,Sutsujin mna bg,sutsujin mna bg,0,safe,non-cyberbullying,0
400,Gelooo skylarr improve bgt + tanpa death,gelooo skylarr improve banget death,0,safe,non-cyberbullying,0
401,mati di base sendiri kocak,mati base sendiri kocak,5,moderate_toxic,cyberbullying,1
402,Si toy gak bisa gerak di karungin sama Skylar 😂,si toy bisa gerak karungin sama skylar,0,safe,non-cyberbullying,0
403,7:46 mahal lutpi,mahal lutpi,0,safe,non-cyberbullying,0
404,di kandangin lutpi😂,kandangin lutpi,0,safe,non-cyberbullying,0
405,"Singkat, padat, ga bohong ini mah😂",singkat padat bohong mah,0,safe,non-cyberbullying,0
406,guru dan murid❤,guru murid,0,safe,non-cyberbullying,0
407,"KATA KATA LUCU DARI KINGDOM ""TOYY LEBIH BAIK DARI SKYLAR"" EH MENDING PADA SADAR DAH SKYLAR SALAH SATU GOLD LANER YANG DIAKUI DUNIA DIBANDINGIN AMA TOYY YANG GADAA APA"" NYA?😂😂",kata kata lucu kingdom toyy lebih baik skylar eh mending sadar skylar salah satu gold laner aku dunia dibandingin sama toyy gadaa apa,0,safe,non-cyberbullying,0
408,Gua tdi nya fans RRQ mhon ijin pindah ke ONIC😂,tdi fans rrq mhon ijin pindah onic,0,safe,non-cyberbullying,0
409,TOY TOY BISA MAEN GA LUUU,toy toy maen luuu,0,safe,non-cyberbullying,0
410,kek jaman covid di gh masing masing,jaman covid gh masing masing,0,safe,non-cyberbullying,0
411,Kondom mana nih suaranya wowkwowkwk,kondom mana nih suara wowkwowkwk,0,safe,non-cyberbullying,0
412,daripada di rrq jadi camat ya ler,di rrq jadi camat ler,0,safe,non-cyberbullying,0
413,"🤴🏾 king diraw be like: woy skylar respect lah, dlm base msih di kill.
🤣🤣🤣",king diraw be like woy skylar respect lah dlm base msih kill,0,safe,non-cyberbullying,0
414,Sayang online kalau dak online pasti rame bangett apalagi untuk skylar ketemu mantan tim,online kalau dak online rame banget untuk skylar ketemu mantan tim,0,safe,non-cyberbullying,0
415,Toy bawa kawan😂,toy bawa kawan,0,safe,non-cyberbullying,0
416,LERR TOLONGIN LERRR,lerr tolongin lerrr,0,safe,non-cyberbullying,0
417,Itulah kebodohan seorng Pak ap buang seykler al hasill RRQ tnpa seykler bisa apah ngandlin sipah?? Idok???? Ris mind boch kmerin???? Hahaha lucunya RRQ,bodoh seorng pak ap buang seykler al hasill rrq tnpa seykler apah ngandlin sipah idok ris mind boch kmerin hahaha lucu rrq,4,moderate_toxic,cyberbullying,1
418,Line up onic skrg itu dream team lohh... Yah masaa bisa di kalahin raja raja an 😂🤣,line up onic skrg dream team lohh masaa di kalahin raja raja an,0,safe,non-cyberbullying,0
419,Udah yappingnya Rinz? besok ngoceh lagi ya kan ppq selalu ada aja dramanya wkw,yappingnya rinz besok ngoceh ya ppq selalu saja drama wkw,0,safe,non-cyberbullying,0
420,"Rins ngapain yak😂, ulti angin trs",rins ngapain ulti angin terus,0,safe,non-cyberbullying,0
421,pucuk dingin euuuyyy,pucuk dingin euuuyyy,0,safe,non-cyberbullying,0
422,Penghianat,penghianat,0,safe,non-cyberbullying,0
423,Gua dari dulu fans rrq . Baru kali ini rrq punya jungler main nya bener bener paraaaaah. Next ganti jungler pak ap tolong,dari dulu fans rrq baru kali rrq punya jungler main benar benar paraaaaah next jungler pak ap,0,safe,non-cyberbullying,0
424,cuy rinz gk cek rumput dlu kah,cuy rinz cek rumput dlu,0,safe,non-cyberbullying,0
425,"Khezcute : ""Fanny cuma dongeng"" 😂",khezcute fanny cuma dongeng,0,safe,non-cyberbullying,0
426,Busettt menyala banget lutpi game 1🫣🫣,busettt nyala banget lutpi game,0,safe,non-cyberbullying,0
427,Udah onik juara lagi fix,onik juara fix,0,safe,non-cyberbullying,0
428,Kenapa gak di stage sih,tidak stage sih,0,safe,non-cyberbullying,0
429,Yang itu gold line di atas Skylar hahaaaa piala mpl juga gak punya hahaaaa,itu gold line atas skylar hahaaaa piala mpl tidak punya hahaaaa,0,safe,non-cyberbullying,0
430,LUTPIIIII LOPYUU GILA 😭😭😭😭😭😭,lutpiiiii lopyuu gila,0,safe,non-cyberbullying,0
431,Hina banget pharsa mokad di base 😂😂😂,hina banget pharsa mokad base,4,moderate_toxic,cyberbullying,1
432,GG lutpiiii,gg lutpiiii,0,safe,non-cyberbullying,0
433,Gini amat rrq😂,gin rrq,0,safe,non-cyberbullying,0
434,Apa lagi ni alasan rinz kalah? 😂,apa ni alas rinz kalau,0,safe,non-cyberbullying,0
435,SELAMA MASIH RINZ (SI PALING HAUS VALIDASI) PPQ AKAN TETEP SEPERTI ITU (AMPAS),sama kasih rinz si paling haus validasi ppq tetep itu ampas,4,moderate_toxic,cyberbullying,1
436,9.46 Lance vs Fanny☠️,lance vs fanny,0,safe,non-cyberbullying,0
437,Buset skylar ngawur banget damage nya 😂,buset skylar ngawur banget damage,0,safe,non-cyberbullying,0
438,😂😂😂😂😂 RRQ 🤡,rrq,0,safe,non-cyberbullying,0
439,Harusnya yang main RRQ Fahri (King Dairirot),harus main rrq fahri king dairirot,0,safe,non-cyberbullying,0
440,Ayam ayam 🐔🐔🐔 rrq 14:44,ayam ayam rrq,0,safe,non-cyberbullying,0
441,Di ayam2in sama onic 😂,ayamin sama onic,0,safe,non-cyberbullying,0
442,https://youtu.be/J9ihmENoPTs?si=DTgA4bM5p9H7LdpH,,0,safe,non-cyberbullying,0
443,9:17,,0,safe,non-cyberbullying,0
444,King onic butuh lawan yang keras...buat sie pak ap bego....jangglr Indomaret malah di taekin ke mpl wkwkkw,king onic butuh lawan kerasbuat sie pak ap begojangglr indomaret malah taekin mpl wkwkkw,0,safe,non-cyberbullying,0
